Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Tarun Video Graphics,5,Kamla Nagar,15 reviews,Photo + Video,"25,000",per day,info@tarunvideagra.com,9927093442.0,None,https://www.facebook.com/tarunvideographics/,http://tarunvideoagra.com/
Wedding Door,4.6,Civil Lines,24 reviews,Photo + Video,"49,000",per day,weddingdoor.info@gmail.com,7055440055.0,None,https://www.facebook.com/weddingdoor/,http://weddingdoor.in/
Mk Studio,5,Civil Lines,1 review,Photo + Video,"25,000",per day,mukeshnayak.rtn@gmail.com,None,https://www.instagram.com/mk_studio_official/?hl=en,https://www.facebook.com/Mukeshnayak143/,https://www.youtube.com/channel/UCNaRZ0EUKPnrkr_wPC2cb_Q
Speed Color Lab,5,Agra,1 review,Photo + Video,"50,000",per day,None,None,https://www.instagram.com/speedcolorlab/?hl=en,https://www.facebook.com/speedcolorlabagra/posts/personalized-led-photo-framesome-special-moments-requires-a-beautiful-framebuy-p/2491852437724742/,None
Om Sharma Photography,4.9,Agra Cantt,14 reviews,Photo + Video,"50,000",per day,None,None,https://www.instagram.com/om_sharma_photography/?hl=en,https://www.facebook.com/439938269513443/posts/book-your-wedding-or-pre-weddingom-sharma-photography-7300938709/1208040649369864/,None
Isha Video Films,4.9,Sikandra,6 reviews,Photo + Video,"35,000",per day,isha77films@gmail.com,+91 9810248407 - Sumit Nagar,https://www.instagram.com/weddingsbyishafilms/?hl=en,https://www.facebook.com/IshaFilms/,www.ishafilms.com
Studio Sagar,4.8,Agra,10 reviews,Photo + Video,"35,000",per day,sagartank72213700@gmail.com,9434392945,None,https://www.facebook.com/studiosagar0/,http://studiosagar.in/
Aanand TIwari Photography,4.5,Sikandra,1 review,Photo + Video,"50,000",per day,None,None,https://www.instagram.com/anandntiwari/?hl=en,https://www.facebook.com/Aanandtiwariphotography/services/?service_id=1938085906279009,None
In Focus Studio,5,Kamla Nagar,1 review,Photo + Video,"31,000",per day,infocusstudiokn@gmail.com,8979825600,https://www.instagram.com/in_focus_studios/?hl=en,https://www.facebook.com/pages/category/Photography-Videography/IN-FOCUS-studio-350483006057307/,None
GV Studio,4.9,Lohamandi,17 reviews,Photo + Video,"45,000",per day,None,None,https://www.instagram.com/gv_studios/?hl=en,https://www.facebook.com/GVStudioThanjavurOfficial/,None
Pratik Studio,4.9,Agra,5 reviews,Photo + Video,"45,000",per day,None,None,None,None,None
