Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Amit Kakkar Photography,4.9,Race Course,45 reviews,Photo + Video,"50,000",per day,amitkakkarphotography@gmail.com,7055793000.0,https://www.instagram.com/amitkakkarphotography/?hl=en,https://www.facebook.com/Amitkakkarphotography/,http://amitkakkarphotography.in/
Rewind stories,5.0,Garhi Cantt,28 reviews,Photo + Video,"65,000",per day,kabirsaeed@gmail.com,8477067770.0,https://www.instagram.com/therewindstories/?hl=en,https://www.facebook.com/auraphotographyindia/,None
High Tide Photography,4.8,Ballupur,27 reviews,Photo + Video,"1,00,000",per day,enquiry.hightide@gmail.com,9690332684.0,https://www.instagram.com/photographyhightide/?hl=en,https://www.facebook.com/hightide7/,https://instagram.com/photographyhightide
Cupid Love stories,4.9,Thakurpur,25 reviews,Photo + Video,"1,40,000",per day,hello@cupidlovestories.com,8445503363.0,https://www.instagram.com/cupidlovestories/?hl=en,https://www.facebook.com/cupidlovestories/,http://www.cupidlovestories.com/
Tushar Batra Films,4.9,Ballupur,17 reviews,Photo + Video,"1,10,000",per day,tusharbatraofficial@gmail.com,7017422011.0,https://www.instagram.com/tusharbatrafilms/?hl=en,https://www.facebook.com/tusharbatrafilms/,https://www.youtube.com/channel/UCyE5kfKdt_OmwwYjko4kfpQ
Camlition Productions,5.0,Dehradun,20 reviews,Photo + Video,"1,60,000",per day,camlitionproductions@gmail.com,9999499390.0,https://www.instagram.com/camlition_productions/?hl=en,https://www.facebook.com/camlitionproductions/,http://www.camlitionproductions.com/
Balaji Photography,5.0,Kanwali,24 reviews,Photo + Video,"50,000",per day,None,9560072770.0,None,https://www.facebook.com/pages/category/Photographer/Balaji-Photography-862160694172501/,None
Garry Photography,4.9,Dehradun,22 reviews,Photo + Video,"50,000",per day,guljargarry@gmail.com,+1 989-719-4134,None,https://www.facebook.com/garryphotographyddn/,http://www.garryphotography.in/
Lights And Shadows Studios,5.0,Aamwala,35 reviews,Photo + Video,"75,000",per day,lightsandshadowsstudios@gmail.com,8410764451,None,https://www.facebook.com/LightsAndShadowsStudios/,http://www.lightsandshadows.in/
Rohini Studio,5.0,Dehradun,10 reviews,Photo + Video,"35,000",per day,chandelrishal@gmail.com,7468000777,https://www.instagram.com/rohinistudio_photography/,https://www.facebook.com/rohinistudio/,http://www.rohinistudio.com/
Creating Tales,5.0,Dehradun,9 reviews,Photo + Video,"80,000",per day,infocreatingtales@gmail.com,8077615755,https://www.instagram.com/creatingtales/?hl=en,https://www.facebook.com/creatingtales/,None
5 Keys Studio,5.0,Chironwali,11 reviews,Photo + Video,"50,000",per day,studio5keys@gmail.com,7060120724,None,https://www.facebook.com/5keysstudio/,http://www.studio5keys.com/
Creating Moments,4.2,Kishanpur,11 reviews,Photo + Video,"40,000",per day,creatingmoments5@gmail.com,9690527611,None,https://www.facebook.com/creatingmomentsphotography/,None
Fhotofilm,5.0,Dehradun,11 reviews,Photo + Video,"40,000",per day,None,+19634052040,None,https://www.facebook.com/fhotofilm/,http://www.fhotofilm.com/
My Photo Genie,5.0,Prem Nagar,15 reviews,Photo + Video,"35,000",per day,vivekmishra092@gmail.com,9012809999,https://www.instagram.com/vivekmishraphotography/?hl=en,https://www.facebook.com/vivekmishraphotography/,http://www.myphotogenie.com/
Tasveer By Vipin Bisht,5.0,Majra,2 reviews,Photo + Video,"60,000",per day,vipinbisht1998@gmail.com,8449715361,None,https://www.facebook.com/tasveerbyvipinbisht/,http://tasveerbyvipinbisht.in/
Khushboo Qazi Photography,5.0,Majra,11 reviews,Photo + Video,"40,000",per day,khushbooqaziphotography@gmail.com,8755273716,https://www.instagram.com/khushbooqaziphotography/?hl=en,https://www.facebook.com/pages/category/Photographer/Khushboo-QaZi-Photography-1639884202957498/,None
Snapper's Eye,5.0,Ballupur,10 reviews,Photo + Video,"70,000",per day,snapperseye73@gmail.com,8077118446,https://www.instagram.com/snappers_eye/,https://www.facebook.com/snapperseye/,None
Sai Color Image,5.0,Dehradun,1 review,Photo + Video,"75,000",per day,sab.amit05@gmail.com,9927074859,None,https://www.facebook.com/saicolorimage/,https://www.amitsabharwalphotography.com/
Rivahh The Weddings,5.0,Dehradun,2 reviews,Photo + Video,"80,000",per day,rivahhweddings@gmail.com,8410300798,None,https://www.facebook.com/Rivahhtheweddings/,http://www.Rivahh.com/
Rajneesh Photography,5.0,Aamwala,21 reviews,Photo + Video,"25,000",per day,simplyrajneesh@gmail.com,9634763585,None,https://www.facebook.com/rajneeshkumarphotography/,http://rajneeshphotography.com/
Aavi Seth Photography,5.0,Garhi Cantt,13 reviews,Photo + Video,"65,000",per day,None,None,None,https://www.facebook.com/AavisethPhotography,None
Prateek Adhikari Photography,4.9,Dehradun,12 reviews,Photo + Video,"80,000",per day,hello@prateekadhikari.photography,9915012233,https://www.instagram.com/prateekadhikari.photography/?hl=en,https://www.facebook.com/PrateekAdhikari.photography/,http://prateekadhikari.photography/
Prashant Badoni Photography,5.0,Prem Nagar,8 reviews,Photo + Video,"75,000",per day,prashant.badoni79@gmail.com,8979330015,None,https://www.facebook.com/prashantbadoniphotography/,None
Lamhein Production,5.0,Chironwali,2 reviews,Photo + Video,"90,000",per day,None,None,https://www.instagram.com/lamheinproduction/?hl=en,https://www.facebook.com/lamheinproduction/,None
House Of Memories by Vatsal Gupta,5.0,Dehradun,1 review,Photo + Video,"80,000",per day,None,None,None,https://www.facebook.com/pages/category/Professional-Service/House-of-Memories-by-Vatsal-Gupta-235280579952410/,None
Reflex Studio,5.0,Dehradun,1 review,Photo + Video,"40,000",per day,None,None,https://www.instagram.com/reflexstudiord/?hl=en,None,None
Deep Photography,5.0,Dehradun,11 reviews,Photo + Video,"30,000",per day,deep1992@gmail.com,None,None,https://www.facebook.com/pages/category/Artist/Deep-Photography-157172144439007/,http://www.deepashree.com/
Shaadi Shots,4.9,Garhi Cantt,8 reviews,Photo + Video,"70,000",per day,hitenbabbar1896@gmail.com,9802662925,None,https://www.facebook.com/shaadishots/,http://www.shaadishots.com/
Akhilesh Singh Photography,5.0,Dehradun,3 reviews,Photo + Video,"80,000",per day,None,None,https://www.instagram.com/weddings.akhileshsingh/,https://www.facebook.com/AkhileshSinghPhotography/photos/,None
Mehar Photography and Digital Studio,4.5,Ajabpur Kalan,1 review,Photo + Video,"27,000",per day,bookmeharphotography@gmail.com,9851540005,https://www.instagram.com/meharphotography/?hl=en,https://www.facebook.com/meharphotography/,http://www.weddingsbymehar.com/
Amit Gariya Photography,5.0,Balawala,2 reviews,Photo + Video,"60,000",per day,gariyaamit11@gmail.com,8077507231,https://www.instagram.com/amit_gariya_photography/?hl=en,https://www.facebook.com/amitgariyaphotography/,http://Www.instagram.com/amit_gariya_photography
Inder Photography,5.0,Balawala,6 reviews,Photo + Video,"55,000",per day,mintu8108@gmail.com,9897800351,https://www.instagram.com/photographyinder/,https://www.facebook.com/Indergstudio/,None
Gargi Kukrety Photography,4.9,Dehradun,9 reviews,Photo + Video,"1,60,000",per day,gargikukrety@gmail.com,9897947467,None,https://www.facebook.com/gkukretyphotography/,http://www.gargikukrety.com/
The Dream Wedding Production,5.0,Mothorowala,8 reviews,Photo + Video,"40,000",per day,sameersharma5151@gmail.com,Whtapp +91 9627940914 (IDEA) +91 8938091384 (VODA),None,https://www.facebook.com/sameersharma5151/,https://www.youtube.com/channel/UCRm4lZuXNWx4wHsUHzPyqQA/videos?view_as=subscriber
Raja Baja Films,5.0,Balawala,1 review,Photo + Video,"80,000",per day,rajabajafilms@gmail.com,8979892983,https://www.instagram.com/rajabajafilms/?hl=en,https://www.facebook.com/rajabajafilms/,None
Phenixx Designs & Studio,5.0,Dehradun,5 reviews,Photo + Video,"30,000",per day,phenixxdesignsnstudio@gmail.com,7409973884,None,https://www.facebook.com/Phenixxdesignsndstudio/,None
The Photoberrys,5.0,Dehradun,10 reviews,Photo + Video,"55,000",per day,thephotoberrys@gmail.com,9627181792,https://www.instagram.com/the_photoberrys/?hl=en,https://www.facebook.com/thephotoberrys/,https://instagram.com/the_photoberrys?igshid=f8gv6f3zl8zf
Magical Moments Photography,5.0,Dehradun,1 review,Photo + Video,"50,000",per day,viveksahu64@gmail.com,7008175880,https://www.instagram.com/magicmomentsphotography.in/?hl=en,https://www.facebook.com/magicalmomentsphotography9/,None
Maurya Films,4.9,Dehradun,8 reviews,Photo + Video,"20,000",per day,None,None,None,https://www.facebook.com/pages/category/Photographer/Maurya-films-765038470327965/,None
Aura The Wedding Journey,5.0,Khurbura Mohalla,13 reviews,Photo + Video,"60,000",per day,None,None,None,https://www.facebook.com/auratheweddingjourney/,None
Kunal Dhingra Photography,5.0,Hathibarkala,1 review,Photo + Video,"80,000",per day,kunaldhingra.500@gmail.com,For Enquiries Contact +91-9927500500,https://www.instagram.com/kunal.dhingra.productions/?hl=en,https://www.facebook.com/kunaldhingraphotography/,http://www.kunaldhingraphotography.weebly.com/
Nagpal Photographer,5.0,Rajpur Road,3 reviews,Photo + Video,"1,20,000",per day,None,None,https://www.instagram.com/nagpalphotographer/?hl=en,https://www.facebook.com/nagpalphotographer/photos/,None
TLM Wedding & Events,5.0,Dehradun,1 review,Photo + Video,"40,000",per day,None,None,https://www.instagram.com/tlm.events/,https://www.facebook.com/tlm.eventss/,None
Shagun Weddings,4.9,Dehradun,15 reviews,Photo + Video,"70,000",per day,None,None,https://www.instagram.com/shagunweddings/?hl=en,https://www.facebook.com/shagunweddingsuk/reviews/,None
Denny Daniel Photography,5.0,Kishanpur,10 reviews,Photo + Video,"65,000",per day,denny.daniel.photography@gmail.com,9599328864,https://www.instagram.com/denny.daniel.photography/?hl=en,https://www.facebook.com/dennydanielimages/,http://www.dennydaniel.net/
Moonwalk Videos,5.0,Hathibarkala,1 review,Photo + Video,"30,000",per day,None,None,None,None,None
M S Photography,5.0,Subhash Nagar,8 reviews,Photo + Video,"30,000",per day,msphotoart6@gmail.com,9898866483,https://www.instagram.com/msphotography_moinshaikh/?hl=en,https://www.facebook.com/msphotoart6/,None
The Mansa Production,4.9,Hathibarkala,6 reviews,Photo + Video,"50,000",per day,None,None,https://www.instagram.com/mproductions.co/?hl=en,https://m.facebook.com/Mansa-Production-111505993851527/,None
