Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Camlition Productions,5.0,Goa,20 reviews,Photo + Video,"1,60,000",per day,None,None,https://www.instagram.com/camlition_productions/?hl=en,https://www.facebook.com/camlitionproductions/,None
Infinite Memories,4.8,Goa,57 reviews,Photo + Video,"2,25,000",per day,None,9921016160,https://www.instagram.com/infinite_memories09/?hl=en,https://www.facebook.com/InfiniteMemories09/,None
Vogueshaire,4.8,Goa,84 reviews,Photo + Video,"1,00,000",per day,None,9822485163,https://www.instagram.com/vogueshaire/?hl=en,https://www.facebook.com/vogueshaire/,None
Shutter Magik,5.0,Goa,20 reviews,Photo + Video,"1,40,000",per day,None,8240205139,https://www.instagram.com/shutter_magik/?hl=en,https://www.facebook.com/shuttermagik/,None
Abhishek Marathe Photography,4.9,North Goa,31 reviews,Photo + Video,"55,000",per day,infovixelsstudio@gmail.com,9764251158,https://www.instagram.com/abhishek_marathe_photography/?hl=en,https://www.facebook.com/abhishekamarathe/,None
Jumping Souls,5.0,North Goa,13 reviews,Photo + Video,"1,25,000",per day,campixelsphotography@gmail.com,8975179195,https://www.instagram.com/jumpingsoulsofficial/?hl=en,https://www.facebook.com/jumpingsoulsproduction/,None
Picture Visual,5.0,Goa,106 reviews,Photo + Video,"95,000",per day,None,None,https://www.instagram.com/picturevisual094/?hl=en,https://www.facebook.com/picturevisual/,None
Dark Cup Productions,5.0,Goa,48 reviews,Photo + Video,"1,00,000",per day,None,None,https://www.instagram.com/darkcupproductions/?hl=en,https://www.facebook.com/darkcupproduction/,http://www.thebrowneyephotos.com/
Candid Tales Photography,5.0,Goa,25 reviews,Photo + Video,"1,70,000",per day,None,8805669808,https://www.instagram.com/candidtales/?hl=en,https://www.facebook.com/RishabhSoodPictures/,None
Cupid Love stories,4.9,Goa,25 reviews,Photo + Video,"1,40,000",per day,pragadgil@gmail.com,9158592928,https://www.instagram.com/cupidlovestories/?hl=en,https://www.facebook.com/cupidlovestories/,None
Mrinal Khatnani Photos and Films,5.0,Goa,28 reviews,Photo + Video,"1,20,000",per day,None,None,https://www.instagram.com/mkpf.in/,https://www.facebook.com/mrinalkhatnaniphotography/,None
The Bombay Brigade,4.9,Goa,43 reviews,Photo + Video,"1,25,000",per day,None,9850733122,https://www.instagram.com/thebombaybrigade/?hl=en,https://www.facebook.com/pages/category/Photographer/The-Bombay-Brigade-261941937880917/,None
Editmaster Studios,4.9,Goa,26 reviews,Photo + Video,"1,00,000",per day,rockywilzstudio@gmail.com,9823473737,https://www.instagram.com/editmasterindia/?hl=en,https://www.facebook.com/Editmasterstudios/posts,http://www.youtube.com/c/RockyWilz
49 The Studio,4.7,South Goa,16 reviews,Photo + Video,"70,000",per day,None,None,https://www.instagram.com/49thestudio/?hl=en,https://www.facebook.com/ParamPTalaulikarPhotography/,None
SeventhHeaven Wedding Company,5.0,Goa,44 reviews,Photo + Video,"1,60,000",per day,None,None,https://www.instagram.com/seventhheavenweddingco/?hl=en,https://www.facebook.com/SeventhHeavenWeddingco/,None
Just Focus,4.9,North Goa,11 reviews,Photo + Video,"30,000",per day,None,9881067935,None,None,http://www.photopheras.com/
Speaking Frame,4.7,Goa,55 reviews,Photo + Video,"1,00,000",per day,None,None,https://www.instagram.com/speakingframe/?hl=en,https://www.facebook.com/speakingframe/,None
Aniket Halbe Photography and Cinematography,5.0,North Goa,11 reviews,Photo + Video,"40,000",per day,rohanharikantpictures@gmail.com,9545872636,https://www.instagram.com/aniket_halbe_photography/?hl=en,https://www.facebook.com/anikethalbephotography/,None
Sarvesh Savaikar Photography,5.0,North Goa,8 reviews,Photo + Video,"55,000",per day,None,None,https://www.instagram.com/sarveshsavaikarphotography/?hl=en,https://www.facebook.com/sarveshsavaikarphotography/,None
Sunny Parsekar Photography,4.8,Mapusa,3 reviews,Photo + Video,"28,000",per day,akhil@akhilphotography.com,9776429634,https://www.instagram.com/sunny_parsekar_photography/?hl=en,https://www.facebook.com/sunnyparsekars/,http://www.akhilphotography.com/
The VR Story,4.8,Penha de Franca,19 reviews,Photo + Video,"95,000",per day,digambardhuri1@gmail.com,7798619862,None,None,None
VM Studios,5.0,South Goa,1 review,Photo + Video,"75,000",per day,chiqab@yahoo.com,None,None,https://www.facebook.com/vmstudios1/,None
Khichik Photography,5.0,South Goa,1 review,Photo + Video,"90,000",per day,mahendra@studio21visualizations.com,9867092624,https://www.instagram.com/khichikphotography/?hl=en,https://www.facebook.com/khichikgoa/,https://www.studio21visualizations.com/
Satyaki Gaonkar photography,5.0,South Goa,2 reviews,Photo + Video,"60,000",per day,None,9922700708,https://www.instagram.com/wedding_stories_by_kiii/?hl=en,https://www.facebook.com/people/Satyaki-Gaonkar/100007415925620/,http://www.vinora.in/
RudhNav Photography,5.0,Ponda,2 reviews,Photo + Video,"50,000",per day,lenzphotography@rocketmail.com,+1 423-736-6062,https://www.instagram.com/rudhnav_photography/?hl=en,https://www.facebook.com/rudhnav/,http://www.LenzPhotography.com/
Soulmate Weddings by Shalini Rao,5.0,North Goa,5 reviews,On Request,None,None,None,None,None,None,None
Nandita Arts Photography,5.0,South Goa,6 reviews,Photo + Video,"75,000",per day,saviofer44@gmail.com,9637889840,None,https://www.facebook.com/nap6424/,http://www.saviodigitalartsstudio.com/
PaperRose Art by Roland Gomes,5.0,South Goa,1 review,Photo + Video,"1,50,000",per day,johnny_pereira@rediffmail.com,9503750256,https://www.instagram.com/paperroseartbyroland/?hl=en,https://www.facebook.com/rolandgomesphotography/,None
Omkar Hirloskar Photographer,5.0,Mapusa,9 reviews,Photo Package,"12,000",per day,sales@silhouetteindia.com,9845521500,https://www.instagram.com/omkarhirloskar/?hl=en,https://www.facebook.com/omkarphotographer,http://www.silhouetteindia.com/
Creative World Creations,5.0,Goa,6 reviews,Photo + Video,"45,000",per day,None,9910836779,None,https://www.facebook.com/pages/category/Wedding-Planning-Service/Creative-World-Creations-photography-event-578319492353002/,http://www.sonustudio.in/
