Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Jodi Clicker,5.0,Meerut,5 reviews,Photo + Video,"50,000",per day,info@jodiclickers.com,9577659682.0,https://www.instagram.com/jodi_clickerr/?hl=en,https://www.facebook.com/JodiClickers/,http://www.jodiclickers.com/
Grover Color Lab,5.0,Meerut,1 review,Photo + Video,"60,000",per day,psinghlab@gmail.com,None,https://www.instagram.com/grovercolorlab/,https://www.facebook.com/pritendergrover/,http://www.grovercolorlab.com/
Lens Queen Photography,5.0,Meerut,6 reviews,Photo + Video,"45,000",per day,None,None,https://www.instagram.com/lensqueenphotography/?hl=en,https://www.facebook.com/lensquern/,None
Eden Digital Lab & Studio,5.0,Meerut,5 reviews,Photo + Video,"32,000",per day,ajaypal9319@gmail.com,9358400682,https://www.instagram.com/edendigitallabs/?hl=en,https://www.facebook.com/pages/category/Photography-Videography/Eden-Digital-Lab-Studio-Meerut-656365201474329/,http://www.edendigitallab.in/
Vansh Pixography,5.0,Meerut,10 reviews,Photo + Video,"40,000",per day,singhbhanupratap678@gmail.com,9928550621,https://www.instagram.com/prashantkasana2500/,https://www.facebook.com/Bhanupixography/,http://bhanupixography.marvellabs.com/
BR Studio,5.0,Meerut,1 review,Photo + Video,"11,000",per day,None,None,None,None,None
Ayush Clicks,5.0,Meerut,1 review,Photo + Video,"30,000",per day,None,None,None,None,None
The Wedding Memories,5.0,Meerut,1 review,Photo + Video,"60,000",per day,akshmazmdr93@gmail.com,8981566129,https://www.instagram.com/the.wedding.memories/?hl=en,https://www.facebook.com/aakashtheweddingmemories/,http://www.theweddingmemories.net/
Nitin Raj Photography,5.0,Meerut,2 reviews,Photo + Video,"47,000",per day,Contact for - Weddings || Lifestyle || Portfolio II - Call/Whatsapp +91 9758433331 or email us at nitinrajphotography@gmail.com to get in touch with … See More,Contact for - Weddings || Lifestyle || Portfolio II - Call/Whatsapp +91 9758433331 or email us at nitinrajphotography@gmail.com to get in touch with … See More,None,https://www.facebook.com/pages/category/Photographer/Nitin-Raj-Photography-407937306001759/,http://www.nitinrajphotography.com/
Vidur Studio,5.0,Meerut,2 reviews,Photo + Video,"58,000",per day,vidurstudio@gmail.com,9927681257,https://www.instagram.com/vidurstudio/?hl=en,https://www.facebook.com/vidurstudio/,http://www.vidurstudio.com/
Meraki Storytellers,5.0,Meerut,1 review,Photo + Video,"50,000",per day,storytellersmeraki@gmail.com,7017415042,https://www.instagram.com/storytellersmeraki/,https://www.facebook.com/merakistorytelles/,None
Chopra Studio,5.0,Meerut,1 review,Photo + Video,"50,000",per day,None,+91 99977 95973,None,https://www.facebook.com/Chopra-studio-Wedding-Photo-Grappher-278014659398165/posts,None
Dheeraj Bhai Photo Wala,4.8,Meerut,3 reviews,Photo + Video,"35,000",per day,None,None,https://www.instagram.com/dhiraj12_kr34/,https://www.facebook.com/dheeraj.bhai.7545708,None
Technica Studio,5.0,Meerut,14 reviews,Photo + Video,"29,000",per day,technicastudio4@gmail.com,9359812860,None,https://www.facebook.com/TECHNICA.STUDIO/,http://technicastudio.business.site/
Rey Production,5.0,Meerut,2 reviews,Photo + Video,"25,000",per day,None,8979892262,https://www.instagram.com/atulsom/?hl=en,https://www.facebook.com/assom009/,None
Dream House Studios,5.0,Meerut,4 reviews,Photo + Video,"60,000",per day,We are a friendly neighborhood recording studio in downtown Toronto. Contact us: info@thedreamhousestudio.com,+1 647-938-7965,https://www.instagram.com/dhstudiosatl/?hl=en,https://www.facebook.com/thedreamhousestudio/,http://www.thedreamhousestudio.com/
Lala Photo Studio,Meerut,No Reviews,Photo + Video,"25,000",per day,None,None,None,https://www.instagram.com/lalaphotographylv/?hl=en,https://www.facebook.com/lalaphotographylv/,None
Radha Krishna Digital Color lab & Studio,Meerut,No Reviews,Photo + Video,"60,000",per day,None,deepakchhabra64@gmail.com,8439666306,None,https://hu-hu.facebook.com/Radha-Krishna-Digital-Color-lab-Studio-181579818591229/posts/?ref=page_internal,None
Professional Click Point,2.5,Meerut,1 review,Photo + Video,"55,000",per day,None,None,None,https://www.facebook.com/Professional-click-point-101857638168393/about/,None
Studio Rishi,Meerut,No Reviews,Photo + Video,"35,000",per day,None,None,None,None,https://www.facebook.com/pages/category/Photographer/Studio-Rishi-114834245706555/,None
Toshani Films,Meerut,No Reviews,Photo + Video,"60,000",per day,None,None,8279347119,https://www.instagram.com/toshanifilms/,https://www.facebook.com/Maa.Durga.Jai.Mata.Di/,None
Studio Lalit,Meerut,No Reviews,Photo + Video,"52,000",per day,None,info@lalitartstudio.com,None,https://www.instagram.com/lalitartstudio/?hl=en,https://www.facebook.com/lalitartstudio/,http://www.lalitartstudio.com/
Prashant Studio,Meerut,No Reviews,Photo + Video,"20,000",per day,None,None,9897036909,https://www.instagram.com/prashant.studio/,https://www.facebook.com/prashantstudioo/,http://www.prashantstudio.com/
Vanshika Photo Studios,Meerut,No Reviews,Photo + Video,"30,000",per day,None,None,None,https://www.instagram.com/vanshika.studio/,https://www.facebook.com/pages/category/Photographer/Vanshika-photo-studio-2625035830857473/,None
Mahesh Digital Studio,Meerut,No Reviews,Photo + Video,"60,000",per day,None,None,None,None,https://www.facebook.com/Mahesh-Digital-Studio-557870664551773/about/,None
Studio Pankaj,Meerut,No Reviews,Photo + Video,"33,000",per day,None,None,None,None,https://www.facebook.com/WWW.PANKAJ.STUDIO.IN/,None
Padam Malhotra Photography,Meerut,No Reviews,Photo + Video,"50,000",per day,None,padam.photoproduct@gmail.com,9837321792,https://instagram.com/padam.malhotra,https://www.facebook.com/Padam.yes/,None
SB Studio,Meerut,No Reviews,Photo + Video,"37,000",per day,None,soluncev@gmail.com,None,None,https://www.facebook.com/Soluncev.SB.Studio/,https://www.youtube.com/user/lowbent/about
Singhlens Creations,Meerut,No Reviews,Photo Package,"16,000",per day,None,www.singhlenscreations@gmail.com,7417805262,https://www.instagram.com/singhlens_creations/,https://www.facebook.com/Singhlenscreations/,None
Nitin Studio,Meerut,No Reviews,Photo + Video,"30,000",per day,None,nitin_studio@yahoo.com,None,None,https://www.facebook.com/nitindigitalstudio/,http://www.nitinstudio.com/
Sahil Photography,Meerut,No Reviews,Photo + Video,"70,000",per day,None,sahilharjai91@gmail.com,9466817209,https://www.instagram.com/sahilphotography_16/?hl=en,https://www.facebook.com/Sahil-Photography-455742214833692/,None
Chetan Madhok Photography,Meerut,No Reviews,Photo + Video,"30,000",per day,None,chetanmadhokphotography@gmail.com,8171251651,https://www.instagram.com/chetan_madhok/?hl=en,https://www.facebook.com/chetanmadhokphotography2016/,http://www.instagram.com/chetan_madhok
Wedding Album Creations,Meerut,No Reviews,Photo + Video,"30,000",per day,None,None,None,None,None,None
Chanchal Films,Meerut,No Reviews,Photo + Video,"50,000",per day,None,None,None,None,None,None
Soul Photography,Meerut,No Reviews,Photo + Video,"50,000",per day,None,chugh_bhola_92@yahoo.co.in,8650488880,https://www.instagram.com/artandsoulphotography.in/?hl=en,https://www.facebook.com/soulphotography.co.in/,None
