Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Maya's Wedding Photography,5.0,Kankarbagh,19 reviews,Photo + Video,"65,000",per day,mahendratodankar90@gmail.com,9664972175.0,None,https://www.facebook.com/todankarmahendra90/,None
Aks Production and Photgraphy,5.0,Gardanibagh,9 reviews,Photo + Video,"85,000",per day,care@canvera.com,8294752333.0,https://www.instagram.com/aksproductionsphotography/?hl=en,https://www.facebook.com/aksproductionsjmd/,http://photographers.canvera.com/east/bihar/patna/aks-productions-photography
Maharaja Studio,5.0,Rajendra Nagar,12 reviews,Photo + Video,"50,000",per day,maharajastudious01@gmail.com,7004683690.0,None,https://www.facebook.com/MaharajaStudios1/posts/,http://www.maharajastudio.com/
Fantastic Foto,5.0,Gardanibagh,11 reviews,Photo + Video,"75,000",per day,None,None,None,https://www.facebook.com/ASHISHFOTOGRAPH/,None
Fash Click,4.8,Rukanpura,13 reviews,Photo + Video,"70,000",per day,None,None,None,None,None
Magik Pixels,4.9,Danapur,14 reviews,Photo + Video,"40,000",per day,magikpixels01@gmail.com,9709301460,https://www.instagram.com/magik_pixels/?hl=en,https://www.facebook.com/Magikpixels/,http://magikpixels.com/
Pal Video Film,5.0,Anandpuri,15 reviews,Photo + Video,"35,000",per day,manishpal5113@gmail.com,9905465113,None,https://www.facebook.com/Palvideofilms/?ref=py_c,http://www.Palvideofilms.com/
KriSum Photography,5.0,Gardanibagh,11 reviews,Photo + Video,"70,000",per day,rhsgroupindia@gmail.com,9716477216,https://www.instagram.com/krisum.photography/?hl=en,https://www.facebook.com/KriSum.Photography/,None
Clicking Shaadi,5.0,Patna,31 reviews,Photo + Video,"50,000",per day,None,None,https://www.instagram.com/clickingshaadi/?hl=en,https://www.facebook.com/cshaadi/,None
Sudhir Studio,4.7,Kankarbagh,16 reviews,Photo + Video,"60,000",per day,None,None,https://www.instagram.com/studiosudhir/?hl=en,https://www.facebook.com/Studiosudhir/reviews/,None
