Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Prasang Pictures,5.0,Rajkot,3 reviews,Photo + Video,"60,000",per day,prasangpictures@gmail.com,7990185594.0,https://www.instagram.com/prasang_pictures/?hl=en,https://www.facebook.com/Prasangpictures/,http://www.prasangpictures.com/
Shayona Studio,4.9,Rajkot,8 reviews,Photo + Video,"40,000",per day,None,9978450494.0,https://www.instagram.com/shayonastudio/?hl=en,https://www.facebook.com/shayonastudio/,None
Time Square Media Production,4.7,Rajkot,3 reviews,Photo Package,"37,000",per day,info@squaremedia.tv,None,https://www.instagram.com/timesquare_official/,https://www.facebook.com/squaremedia2/,http://www.squaremedia.tv/
Akash Tilavat Photography,5.0,Rajkot,1 review,Photo + Video,"45,000",per day,None,None,https://www.instagram.com/meghaakash/?hl=en,https://m.facebook.com/pages/Akash-Tilavat-Photography/672246516281761,None
Wide Angle Films,4.8,Rajkot,6 reviews,Photo + Video,"50,000",per day,khan.zafeer20@gmail.com,None,None,https://www.facebook.com/wideanglefilm/,None
Profilephotography.in,5.0,Rajkot,1 review,Photo + Video,"2,05,000",per day,None,None,None,https://www.facebook.com/pages/Profilephotographyin/299928954196100,Ask Profilephotography.in
Hardik Makwana Photography,5.0,Rajkot,1 review,Photo + Video,"40,000",per day,hmphotography03@gmail.com,8866665157,https://www.instagram.com/makvana4029/?hl=en,https://www.facebook.com/hardikmakwanaphotography/,https://www.instagram.com/hardik_makwana_photography/
Xclusiv Photographers,5.0,Rajkot,6 reviews,Photo + Video,"65,000",per day,None,None,https://www.instagram.com/xclusivphotographers/?hl=en,None,None
Clickmaze Photography,5.0,Rajkot,1 review,Photo + Video,"45,000",per day,jagdish21690@gmail.com,9723177088,None,https://www.facebook.com/pages/category/Photography-Videography/Clickmaze-photography-684156315080690/,None
Sangath Pictures Pvt Ltd,5.0,Rajkot,16 reviews,Photo + Video,"60,000",per day,sangath.pictures@gmail.com,9998933387,None,https://www.facebook.com/Int.wedding.photographer/,http://www.sangathpictures.com/
Ravi Photography,4.8,Rajkot,3 reviews,Photo + Video,"50,000",per day,None,None,https://www.instagram.com/raviphotographyjagraon/?hl=en,https://www.facebook.com/ravi.photography.candid/,None
Shutter Half Photography,5.0,Rajkot,10 reviews,Photo + Video,"50,000",per day,pritamreo@gmail.com,9749318257,https://www.instagram.com/shutterhalf/?hl=en,https://www.facebook.com/HalfShutterPhotography/,https://500px.com/reo9
The Wedding Safari,5.0,Rajkot,6 reviews,Photo + Video,"1,00,000",per day,hello@theweddingsafari.com,7600777411,None,https://www.facebook.com/Theweddingsafari/,http://Theweddingsafari.com/
Devansh Digital Photography,4.8,Rajkot,2 reviews,Photo + Video,"60,000",per day,devanshdadhania@gmail.com,8460619401,None,https://www.facebook.com/devanshdigital/,https://www.Devanshdigital.com/
Yogi Photography,5.0,Rajkot,2 reviews,Photo + Video,"35,000",per day,yogiphotography3@gmail.com,8447382419,https://www.instagram.com/mr_macelin/,https://www.facebook.com/Yogiiphotography/,http://www.yogiproduction.com/
Tasveer The Memories,5.0,Rajkot,6 reviews,Photo + Video,"45,000",per day,tasveerian@gmail.com,8460671610,https://www.instagram.com/tasveer_the_memories/?hl=en,https://www.facebook.com/tasveerthememories/,http://www.instagram.com/tasveer_the_memories
Faith Films,5.0,Rajkot,1 review,Photo + Video,"65,000",per day,None,None,None,None,None
Studio Selfie Shot,5.0,Rajkot,1 review,Photo + Video,"50,000",per day,studioselfieshot@gmail.com,9998889987,https://www.instagram.com/studio_selfie_shot/?hl=en,https://www.facebook.com/studioselfieshot/,None
Photo Story,5.0,Rajkot,1 review,Photo + Video,"50,000",per day,None,None,None,None,None
BJ Gandhi Candid Photography,5.0,Rajkot,2 reviews,Photo + Video,"75,000",per day,None,None,None,https://www.facebook.com/permalink.php?id=508166062573010&story_fbid=3339077952815126,None
Chhabi Photography,4.8,Rajkot,3 reviews,Photo + Video,"1,40,000",per day,info@chhabiphotography.com,9825536351,https://www.instagram.com/chhabiphotography/?hl=en,https://www.facebook.com/chhabiphotography/,http://www.chhabi.photography/
VB Photography,4.8,Rajkot,3 reviews,Photo + Video,"35,000",per day,bhaveshvirani111@gmail.com,9766444071,https://www.instagram.com/vb_photography_rajkot/?hl=en,https://www.facebook.com/VBPhotographyRajkot/,http://vbphotography12.blogspot.in/
Pooja Mahindrakar Photography,Rajkot,No Reviews,None,On Request,None,None,None,None,https://www.instagram.com/pooja.mahindrakar/?hl=en,https://www.facebook.com/public/Pooja-Mahindrakar,None
Wedding Life,Rajkot,No Reviews,Photo + Video,"35,000",per day,None,None,None,None,None,None
Jay Trivedi Photography,Rajkot,No Reviews,Photo + Video,"31,000",per day,None,jaytrivedi55@gmail.com,9925054031,https://www.instagram.com/jaytrivedi55/?hl=en,https://www.facebook.com/pages/category/Artist/Jay-Trivedi-Photography-1517429821898147/,http://www.jaytrivediphotography.in/
Prabhat Studio,Rajkot,No Reviews,Photo + Video,"80,000",per day,None,None,None,None,None,None
Artography,Rajkot,No Reviews,Photo + Video,"40,000",per day,None,vijayforart@gmail.com,9990139082,https://www.instagram.com/artography.studio/?hl=en,https://www.facebook.com/StudioArtography/,https://www.artographystudio.com/
VM Artografy,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,None,None,None,https://www.facebook.com/renji7180/,None
Parth Likhiya Photography,Rajkot,No Reviews,Photo + Video,"25,000",per day,None,None,None,None,https://m.facebook.com/patidar.patel.1023,None
AJ Photography,Rajkot,No Reviews,Photo + Video,"85,000",per day,None,jalaggg@gmail.com,9586178508,https://www.instagram.com/ajphotographyservice/?hl=en,https://www.facebook.com/AJPhotographynadiad/,None
Shutter Experts,Rajkot,No Reviews,Photo + Video,"70,000",per day,None,devangtrivedi@shutterexperts.in,9825339031,https://www.instagram.com/shutter__experts/,https://www.facebook.com/ShutterExpertsRjt/,http://www.shutterexperts.in/
Sahajanand Digital Studio,Rajkot,No Reviews,Photo + Video,"40,000",per day,None,None,None,None,None,None
Nijanand Digital,Rajkot,No Reviews,Photo + Video,"35,000",per day,None,nijananddigitalstudio@gmail.com,8866865520,https://www.instagram.com/nijananddigitalstudio/?hl=en,https://www.facebook.com/nijananddigitalstudio/,None
Om Studio,Rajkot,No Reviews,Photo + Video,"35,000",per day,None,studioom85@gmail.com,9925367535,None,https://www.facebook.com/Studio-OM-419805371426407/?ref=py_c,None
Tirupati Studio,Rajkot,No Reviews,Photo + Video,"65,000",per day,None,dhakan.nitin@gmail.com,9227200041,None,https://www.facebook.com/tirupatistudio/,http://www.tirupatistudio.com/
Vrushbh Photo Art,Rajkot,No Reviews,Photo + Video,"65,000",per day,None,None,9909860126,None,https://www.facebook.com/vrushbhphotoart/,None
Bhargav Thobhani Photography,Rajkot,No Reviews,Photo + Video,"1,75,000",per day,None,None,9428788900,https://www.instagram.com/lovingheart777_bhargav/?hl=en,https://www.facebook.com/bhargavthobhaniphotography/,None
M.K.Studio,Rajkot,No Reviews,Photo + Video,"70,000",per day,None,None,None,None,None,None
Diya Photo Studio,Rajkot,No Reviews,Photo + Video,"60,000",per day,None,None,None,None,https://www.facebook.com/pages/category/Personal-Blog/Diya-photo-studio-101076861945361/,https://youtube.com/channel/UCD0e7WdXGOsolZ3hY-N2wjQ
R.K Vision,Rajkot,No Reviews,Photo + Video,"45,000",per day,None,None,None,None,None,None
Yogi Photography,Rajkot,No Reviews,Photo + Video,"28,000",per day,None,yogiphotography3@gmail.com,8447382419,https://www.instagram.com/mr_macelin/,https://www.facebook.com/Yogiiphotography/,http://www.yogiproduction.com/
Tasveergraphy,Rajkot,No Reviews,Photo + Video,"1,60,000",per day,None,tasveergraphyrajkot@gmail.com,9408049869,https://www.instagram.com/tasveergraphyfilms/?hl=en,https://www.facebook.com/tasveergraphyfilms/,http://tasveergraphy.com/
New Chandan Digital Studio,Rajkot,No Reviews,Photo + Video,"40,000",per day,None,newchandandigitalstudio@gmail.com,9824819880,https://www.instagram.com/new_chandan_digital_studio/,https://www.facebook.com/newchandandigital/,None
AfterGlow - A Photo Boutique,Rajkot,No Reviews,Photo + Video,"30,000",per day,None,info@afterglowrva.com,+1 804-482-1423,https://www.instagram.com/afterglowphotoshoot/,https://www.facebook.com/afterglowcreative/,http://www.afterglowrva.com/
