Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Perx Studio,4.9,Doranda,39 reviews,Photo + Video,"45,000",per day,perxstudio@gmail.com,9534049139.0,https://www.instagram.com/perxstudios/?hl=en,https://www.facebook.com/pages/category/Photographer/Perx-Studio-1082175608478235/,http://www.perxstudio.com/
Shubh Shagun,5.0,Morabadi,3 reviews,Photo + Video,"60,000",per day,None,None,None,None,None
Clicking Shaadi,5.0,Lalpur,31 reviews,Photo + Video,"50,000",per day,support@clickingshaadi.com,8986507299,https://www.instagram.com/clickingshaadi/?hl=en,https://www.facebook.com/cshaadi/,http://www.clickingshaadi.com/
RV Photography,5.0,Ranchi,2 reviews,Photo + Video,"50,000",per day,dds4443@gmail.com,9374464443,None,https://www.facebook.com/rvegadfotography/,None
Annu Vision,5.0,Kumhartoli,7 reviews,Photo + Video,"60,000",per day,tnayak380@gmail.com,9983834132,None,https://www.facebook.com/annuvideovision/?ref=py_c,None
Winterfall Productions,4.7,Lalpur,6 reviews,Photo + Video,"50,000",per day,winterfallproductionsofficial@gmail.com,None,https://www.instagram.com/winterfall.productions/?hl=en,https://www.facebook.com/WinterfallProductionsOfficial/,https://www.winterfallproductions.com/book-us
Shubham Ghosh Photography,4.8,Ranchi,17 reviews,Photo + Video,"55,000",per day,info.sgprnc@gmail.com,8709156327,https://www.instagram.com/sgpranchi/?hl=en,https://www.facebook.com/sgpranchi/,http://www.sgphoto.in/
Filmy Wilmy,5.0,Ashok Nagar,4 reviews,Photo + Video,"75,000",per day,None,None,None,https://www.facebook.com/filmywilmy/,None
Amazing.Clicker,5.0,Ranchi,1 review,Photo + Video,"35,000",per day,None,None,https://www.instagram.com/amazing.clicker/?hl=en,None,None
Agrawal's Wedding Photography,5.0,Kanka,2 reviews,Photo + Video,"80,000",per day,saahhil.sap@gmail.com,9591999722,None,https://www.facebook.com/thephotoframe/,www.instagram.com/saahhilagrawalphotography
The Snapshooter,5.0,Kumhartoli,2 reviews,Photo + Video,"1,00,000",per day,omangv3@gmail.com,8789115520,None,https://www.facebook.com/v3thesnapshooter/,http://www.thesnapshooter.in/
Photo Express,5.0,Morabadi,2 reviews,On Request,None,None,santosh@photoexpress.in,7675042060,None,https://www.facebook.com/PhotoExpressIndia/,http://www.photoexpress.in/
Wow Photos,4.9,Kumhartoli,13 reviews,Photo + Video,"50,000",per day,None,None,None,None,None
The Photo Box,5.0,Ahirtoli,1 review,Photo + Video,"50,000",per day,thephotoboxranchi@gmail.com,9431187500,None,https://www.facebook.com/PhotoboxRanchi/,http://www.thephotobox.in/
YourStory-Gifting You Moments,4.5,Ranchi,2 reviews,Photo + Video,"55,000",per day,urstoryindia@gmail.com,7903322840,None,https://www.facebook.com/yourstoryofficials/,http://www.yourstoryofficial.com/
Rudra Entertainment,5.0,Lalpur,2 reviews,Photo + Video,"35,000",per day,None,None,https://www.instagram.com/rudra.entertainments/?hl=en,https://www.facebook.com/rudraentertainment1/,http://www.rudraentertainment.in/
Memory Makers,5.0,Doranda,11 reviews,Photo + Video,"50,000",per day,memorymakers.mm1@gmail.com,9705713975,https://www.instagram.com/memorymakers.photography/?hl=en,https://www.facebook.com/MemoryMakersIndiaPvtLtd/,http://www.memorymakersindia.in/
Wedding Story,5.0,Bariatu,2 reviews,Photo + Video,"25,000",per day,info@theweddingstory.com,9820546656,https://www.instagram.com/theweddingstory_official/?hl=en,https://www.facebook.com/theweddingstoryfilms/,http://www.theweddingstory.com/
DK Photography,4.6,Bariatu,12 reviews,Photo + Video,"45,000",per day,None,9723274195,None,https://www.facebook.com/dkphotoshoot/,None
The Next Image,5.0,Lalpur,3 reviews,Photo + Video,"75,000",per day,None,None,https://www.instagram.com/the_next_image/?hl=en,https://www.facebook.com/pages/category/Product-Service/The-Next-Image-official-106264637433372/,None
Let's Clik Photography,5.0,Doranda,2 reviews,Photo + Video,"25,000",per day,lets.click.epic@gmail.com,9585600233,https://www.instagram.com/letsclick/,https://www.facebook.com/pages/category/Interest/Lets-click-photography-2293203334279590/,None
Sharda Photography,4.5,Ranchi,1 review,Photo + Video,"50,000",per day,None,None,https://www.instagram.com/shardaphotography/?hl=en,https://www.facebook.com/shardaphotography/photos/,None
The Flashback Studios,5.0,Hindpiri,1 review,Photo + Video,"60,000",per day,reachflashback@gmail.com,7710068849,https://www.instagram.com/flashbakcstudios/?hl=en,https://www.facebook.com/reachflashback/,None
Photowing Photography,4.8,Doranda,4 reviews,Photo + Video,"45,000",per day,None,None,https://www.instagram.com/photowings/?hl=en,https://www.facebook.com/PhotoWings-176076682477182/,http://www.photowings.org/
Magic Eye Photography,4.5,Ranchi,9 reviews,Photo + Video,"25,000",per day,magiceyework@gmail.com,9334307559,https://www.instagram.com/magiceye_studio/?hl=en,https://www.facebook.com/Studiomagiceye/,http://www.magiceyephotography.com/
Wedding Sutra,5.0,Ranchi,3 reviews,Photo + Video,"15,000",per day,editor@weddingsutra.com,None,https://www.instagram.com/weddingsutra/?hl=en,https://www.facebook.com/weddingsutra/,https://www.weddingsutra.com/
Photowala In,5.0,Doranda,3 reviews,Photo + Video,"50,000",per day,info@photowala.in,9911838983,https://www.instagram.com/jeet_photowala/?hl=en,https://www.facebook.com/Photowala.Delhi/,http://photowala.in/
Rajeev Ranjan Photography,4.9,Morabadi,9 reviews,Photo + Video,"1,00,000",per day,rajeev.shukla.jsr@gmail.com,9334001507,None,https://www.facebook.com/RajeevRanjanPhotography/?fref=nf,None
Chitra Studio,Ranchi,No Reviews,Photo + Video,"75,000",per day,None,ram@chitrastudio.in,9818152600,https://www.instagram.com/chitra.st/,https://www.facebook.com/chitrastudio.in/posts/,http://chitrastudio.in/
Mithilesh Photography,Vikash Nagar,No Reviews,Photo + Video,"58,000",per day,None,None,None,https://www.instagram.com/mithilesh178/?hl=en,https://www.facebook.com/mithilesh178,None
Studio Erato Films,4.6,Lalpur,11 reviews,Photo + Video,"60,000",per day,studioeratofilms@gmail.com,8383850942,None,https://www.facebook.com/studioeratofilms.official/,https://studioeratofilms.in/
Studio Gupta,Ashok Nagar,No Reviews,Photo + Video,"40,000",per day,None,guptagroupldh@gmail.com,9814131316,https://www.instagram.com/guptastudiopvt/?hl=en,https://www.facebook.com/guptastudiopvtltd/,None
Photo Fly,Ranchi,No Reviews,Photo + Video,"1,25,000",per day,None,None,None,None,None,None
Rapid Eye Photography,4.4,Ranchi,5 reviews,Photo + Video,"35,000",per day,lee@rapideye.uk.com,None,https://www.instagram.com/rapideye.darkroom/?hl=en,https://www.facebook.com/Rapid.Eye.London/,http://www.rapideye.uk.com/
Tommy's Click,Ranchi,No Reviews,Photo + Video,"30,000",per day,None,None,None,https://www.instagram.com/tommyhilfiger/,https://b-m.facebook.com/focuslocked/,None
Studio Foto Me,3.7,Ranchi,49 reviews,Photo + Video,"90,000",per day,studiophotome2@gmail.com,8860554556,None,https://www.facebook.com/studiophotome2/,None
Shutterkraft Studios,Ranchi,No Reviews,Photo + Video,"60,000",per day,None,7ipshitb@iimahd.ernet.in,9930856071,https://www.instagram.com/shutterkraftstudios/,https://www.facebook.com/pages/category/Photographer/ShutterKraft-Studios-1039805136080874/,None
Harsh Wardhan Photography,Ranchi,No Reviews,Photo + Video,"30,000",per day,None,xharsh@gmail.com,None,None,https://www.facebook.com/HarshWardhanPhotography/,http://www.hwardhan.com/photography
Nayan Shaurya Photography,Ranchi,No Reviews,Photo + Video,"1,20,000",per day,None,None,None,https://www.instagram.com/nayanshaurya/?hl=en,https://www.facebook.com/NayanShauryaPhotography,None
K M Photography,Kanka,No Reviews,Photo + Video,"50,000",per day,None,None,None,None,https://www.facebook.com/kmphoto/,http://www.k-m-photography.com/
Ixine Photography,Ashok Nagar,No Reviews,Photo + Video,"55,000",per day,None,job4pappu@gmail.com,7004122844,https://www.instagram.com/ixine53/,https://www.facebook.com/ixinephotography/,None
Kaavya Klick Arts,Ranchi,No Reviews,Photo + Video,"60,000",per day,None,None,None,https://www.instagram.com/kaavyaklickarts/,https://www.facebook.com/kaavyaklickarts/photos/?ref=page_internal,None
