Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Momentous Photography,5.0,Salem,1 review,Photo + Video,"1,00,000",per day,momentousfotography@gmail.com,9487754770.0,https://www.instagram.com/momentousfotography/?hl=en,https://www.facebook.com/momentousfotography/,http://www.momentousphotography.in/
CBS Studioz,5.0,Salem,1 review,Photo + Video,"35,000",per day,None,None,https://www.instagram.com/cbsstudioz_salem/?hl=en,None,None
DJ Photo Stories,5.0,Salem,2 reviews,Photo + Video,"60,000",per day,djphotostories@gmail.com,9843210271,None,https://www.facebook.com/DjPhotoStories/,None
The Lovestruck Studios,5.0,Salem,2 reviews,Photo + Video,"90,000",per day,None,None,https://www.instagram.com/thelovestruckstudios/?hl=en,https://www.facebook.com/thelovestruckstudios/?ref=py_c,None
RGP Photography,5.0,Salem,5 reviews,Photo + Video,"35,000",per day,None,None,https://www.instagram.com/rgp_clicks/?hl=en,https://www.facebook.com/RGPclicks/,None
Carnival Studios,5.0,Salem,1 review,Photo + Video,"40,000",per day,None,None,https://www.instagram.com/carnivalstudios/?hl=en,https://www.facebook.com/CarnivalStudioss/,None
Vivaham Photography,5.0,Salem,3 reviews,Photo + Video,"40,000",per day,None,None,None,https://www.facebook.com/vivah.ramganesh/,None
Nakshatra Studioz,5.0,Salem,2 reviews,Photo + Video,"60,000",per day,None,None,None,https://www.facebook.com/Nakshatrastudiozslm/,None
Dilip Photography,5.0,Salem,2 reviews,Photo + Video,"50,000",per day,None,None,https://www.instagram.com/dilipkumar_photography/?hl=en,https://www.facebook.com/Dilipbarotphotography/,None
Sri Abirami Studio,5.0,Salem,1 review,Photo + Video,"45,000",per day,sriabiramistudio@gmail.com,8015129417,None,https://www.facebook.com/sriabiramistudio/,None
Saravana Videos,Salem,No Reviews,Photo + Video,"60,000",per day,None,None,9842087447,https://www.instagram.com/saravanavideos/?hl=en,https://www.facebook.com/SALEMSARAVANAVIDEOS/,http://www.saravanavideos.In/
Dum Dum Dum Studios,Salem,No Reviews,Photo + Video,"35,000",per day,None,dumdumdumstudios@gmail.com,9626771822,https://www.instagram.com/dumdum.studio/?hl=en,https://www.facebook.com/pages/category/Photography-Videography/Dum-Dum-Dum-Studios-515809471824653/,http://dumdumdumstudios.com/
IK Photography,Salem,No Reviews,Photo + Video,"60,000",per day,None,mail@immanuel-kuehnlein.com,None,https://www.instagram.com/ik._.photography/?hl=en,https://www.facebook.com/IK.Photo.G/,None
Thanish Digital,Salem,No Reviews,Photo + Video,"60,000",per day,None,thanishdigital.2014@gmail.com,9688810671,None,https://www.facebook.com/thanishdigital/,http://www.tdphotography.in/
Happy Notch Photography,Salem,No Reviews,Photo + Video,"1,55,000",per day,None,happynotchphotography@gmail.com,9600260001,None,https://www.facebook.com/Happynotchphotography/,None
Navajyothi Digital Studio & Videos,Salem,No Reviews,Photo + Video,"33,000",per day,None,None,8095016982,None,https://www.facebook.com/pages/category/Art/Spandana-digital-studio-mithanadka-339747399724252/,None
House of FCP,Salem,No Reviews,Photo + Video,"1,00,000",per day,None,None,None,None,None,None
