Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Kashmir Frames,5.0,Srinagar,1 review,Photo + Video,"60,000",per day,kashmirframes@gmail.com,9419733335.0,https://www.instagram.com/kashmirframes/?hl=en,https://www.facebook.com/kashmirframes/,http://www.kashmirframes.com/
Sober Studio,5.0,Srinagar,1 review,Photo + Video,"30,000",per day,soberfilms65@gmail.com,8825038138.0,https://www.instagram.com/sober_studios/?hl=en,https://www.facebook.com/pages/category/Camera-Photo/sober-studio-115369070196188/,None
Kasheen Productions,5.0,Srinagar,1 review,Photo + Video,"25,000",per day,kasheenproductions@gmail.com,� +91 7006261039,https://www.instagram.com/kasheen_productions/?hl=en,https://www.facebook.com/pages/category/Photographer/Kasheen-Productions-2198140716899255/,None
Creative Photography Kashmir,5.0,Srinagar,3 reviews,Photo + Video,"30,000",per day,creativeproduction1100@gmail.com,9622872726,https://www.instagram.com/creativephotographykashmir/?hl=en,https://www.facebook.com/creativephotographykashmir/,http://www.twitter.com/nazir1burhan
Kashmir Image Palace,5.0,Srinagar,9 reviews,Photo + Video,"40,000",per day,kashmirimagepalace@gmail.com,7780947580,None,https://www.facebook.com/pages/category/Movie-Theater/Kashmir-Image-Palace-203358066865780/,http://Kashmir-image-palace.business.site/
Umar Nazir Photography,4.5,Srinagar,1 review,Photo + Video,"30,000",per day,CEO = @pixellenceproduction,7006305564,https://www.instagram.com/umar_nazir_310/?hl=en,https://www.facebook.com/ommar.nazeer/,None
Memorelic Productions,4.9,Srinagar,5 reviews,Photo + Video,"70,000",per day,memorelicproductions@gmail.com,7889970472,https://www.instagram.com/memorelic_productions/?hl=en,https://www.facebook.com/memorelicproductions/,http://memorelicproductions.com/
Two Brother's Studio,5.0,Srinagar,25 reviews,Photo + Video,"60,000",per day,studiobrother4@gmail.com,8083691037,https://www.instagram.com/twobrothersstudio/?hl=en,https://www.facebook.com/twobrotherstudio/,None
Kashmir Creative Forever,5.0,Srinagar,1 review,Photo + Video,"60,000",per day,kashmircreativeforever@gmail.com,7889888022,None,https://www.facebook.com/KashmiriPhotographers/,None
Next Gen Photography,5.0,Srinagar,2 reviews,Photo + Video,"50,000",per day,info@nextgenphotosolutions.com,None,None,https://www.facebook.com/NextGenPhotoSolutions/,http://www.nextgenphotosolutions.com/
Next Photo,4.7,Srinagar,5 reviews,Photo + Video,"20,000",per day,None,None,None,https://www.facebook.com/nextofficial/photos/,None
Imad Clicks,5.0,Srinagar,1 review,Photo + Video,"60,000",per day,imadclicks.com@gmail.com,None,https://www.instagram.com/imadclicks/?hl=en,https://www.facebook.com/imadclicks/,http://www.imadclicks.com/
Kashmir Wedding,5.0,Srinagar,4 reviews,Photo + Video,"60,000",per day,info@kashmirwedding.in,9797100807,https://www.instagram.com/kashmirwedding/?hl=en,https://www.facebook.com/WeddingKashmir/,None
Ronak Photo Films,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,None,None,https://www.instagram.com/ronakchheda.31/?hl=en,https://www.facebook.com/RONAK-PHOTO-FILMS-724486354557162/services,None
MG's Wedding Cinematography,Srinagar,No Reviews,Photo + Video,"25,000",per day,None,media.guide@mediaguide.vpweb.in,9811049908,https://www.instagram.com/mgs.wedding.cinematography/?hl=en,https://www.facebook.com/mgsweddingcinematography/,https://mgsweddingcinematography.co.in/
Capture by Aadil Rehbar,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,None,9419005293,https://www.instagram.com/kashmir_capture/?hl=en,https://www.facebook.com/CapturebyAadilRehbar/,None
Zool Production,Srinagar,No Reviews,Photo + Video,"4,50,000",per day,None,zoolteam2017@gmail.com,9906123492,https://www.instagram.com/zool_production/?hl=en,https://www.facebook.com/zoolteam/,http://www.zoolproduction.com/
SR Wedding PhotoGraphy,0.5,Srinagar,1 review,Photo + Video,"40,000",per day,srweddings@yahoo.com,None,https://www.instagram.com/srwedding_photograher/,https://www.facebook.com/srimages11/,None
Welcome Digital Colour Lab,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,None,None,None,https://m.facebook.com/Welcome-Digital-Colour-Lab-2041543839195297/,None
Gainer Studio,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,mayankmaithani007@gmail.com,9997813096,None,https://www.facebook.com/mayankmaithani007/,None
Arsalan Manzoor Fashion Photography,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,None,None,None,https://m.facebook.com/Arsalanmanzoorfashionphotography/photos/?ref=page_internal&mt_nav=0,None
Raj Studio,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,rajstudio4043@gmail.com,7874644043,None,https://www.facebook.com/Yogesh7874/,None
Mubi Video Film Makers,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,None,None,None,None,None
HD Planet,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,None,None,None,None,None
Bhat Studio,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,None,9596408081,https://www.instagram.com/praveenbhat/?hl=en,https://www.facebook.com/Bhat-Studio-1195309700572058/,None
Afreen Studio,Srinagar,No Reviews,Photo + Video,"45,000",per day,None,None,None,https://www.instagram.com/afreenstudio/?hl=en,None,None
Screen Kashmir Studio,Srinagar,No Reviews,Photo + Video,"30,000",per day,None,None,9622868481,None,https://www.facebook.com/screenkashmirstudio/,None
Arsh Fotografi,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,sarshid555@gmail.com,7006256594,https://www.instagram.com/arshphotography/?hl=en,https://www.facebook.com/arsharshid555/,None
