Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Rajat Gupta Photography,5.0,Chetganj,9 reviews,Photo + Video,"2,50,000",per day,rajatguptaphotography@gmail.com,9554492789.0,https://www.instagram.com/anecdotesbyrajatgupta/?hl=en,https://www.facebook.com/rajatguptaphotographyvaranasi/,http://www.rajatguptaphotography.com/
The WeddingShoot,5.0,Varanasi,17 reviews,Photo + Video,"65,000",per day,None,None,https://www.instagram.com/the_weddingshoot/,https://m.facebook.com/1262984814092759,None
Nikhil's Portrait Vision,5.0,Sidhgiribagh,17 reviews,Photo + Video,"50,000",per day,None,7275275765,https://www.instagram.com/nikhilportraitvision/?hl=en,https://www.facebook.com/pages/category/Photographer/Nikhils-Portrait-Vision-105687304801322/,None
The Wedding Myntra,5.0,Varanasi,24 reviews,Photo + Video,"60,000",per day,theweddingmyntra@gmail.com,9889264880,None,https://www.facebook.com/theweddingmyntra/,http://www.theweddingmyntra.com/
RK Films,5.0,Varanasi,7 reviews,Photo + Video,"50,000",per day,None,None,None,None,None
Vishal Gupta Photography,5.0,Jaitpura,1 review,Photo + Video,"80,000",per day,None,9915296677,https://www.instagram.com/gv9541847/?hl=en,https://www.facebook.com/vishalguptaphotography/,None
Jasu Studio,5.0,Mughalsarai,3 reviews,Photo + Video,"30,000",per day,None,None,None,https://m.facebook.com/Jasu-Studio-104397877765555/,None
Vinay Creation,5.0,Chetganj,1 review,Photo + Video,"55,000",per day,vinayfashion.expo@gmail.com,None,None,https://www.facebook.com/vinayfashionllp/,http://www.vinayfashion.com/
D.C.Photography,4.9,Varanasi,5 reviews,Photo + Video,"65,000",per day,None,None,https://www.instagram.com/dc.photography._/,https://www.facebook.com/DCPhotoGallery,None
JDS Photography,4.9,Sidhgiribagh,7 reviews,Photo + Video,"60,000",per day,jdsphotographybaroda@gmail.com,None,https://www.instagram.com/jdsphotography/?hl=en,https://www.facebook.com/jdsphotographybaroda/,https://www.instagram.com/jdsphotographybaroda
VRS Photography,5.0,Varanasi,4 reviews,Photo + Video,"18,000",per day,vinay_vrs@hotmail.com,8840019418,None,https://www.facebook.com/vinaykumarvrs/,None
Aishwary Event Photoraphy,5.0,Varanasi,5 reviews,Photo + Video,"60,000",per day,info@aishwaryavideos.com,9842223291,None,https://www.facebook.com/aishwaryavideos/,http://www.aishwaryavideos.com/
