Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Udai Candid Photography,5.0,Ram Nagar,4 reviews,Photo + Video,"45,000",per day,udaiphotography9@gmail.co,9912833368.0,None,https://www.facebook.com/udai009/,None
35mm Arts,5.0,Pedda Waltair,7 reviews,Photo + Video,"60,000",per day,None,None,None,None,None
Yellow Maple,5.0,Visakhapatnam,15 reviews,Photo + Video,"50,000",per day,None,None,None,None,None
AR Akash Photography,5.0,Dwaraka Nagar,15 reviews,Photo + Video,"55,000",per day,akashram30@gmail.com,8297002107,https://www.instagram.com/ar_akash_photography/?hl=en,https://www.facebook.com/ARPhotography1009/,http://www.arakashphotography.com/
3 Art Studio,5.0,Madhurawada,31 reviews,Photo + Video,"60,000",per day,chakravarthy.k@outlook.com,7674946427,None,https://www.facebook.com/3Artstudios/,https://www.behance.net/3artstudio4ee3
Wedding Stories by Sree,5.0,Gajuwaka,1 review,Photo + Video,"75,000",per day,weddingstoriesbysree@gmail.com,9951799508,None,https://www.facebook.com/weddingstoriesbysree/,None
Katch Photography,5.0,Maddilapalem,1 review,Photo + Video,"60,000",per day,photographykatch@gmail.com,9618720084,https://www.instagram.com/katch_photography/?hl=en,https://www.facebook.com/katchphotography7/,None
Snap Diaries,5.0,Gajuwaka,2 reviews,Photo + Video,"60,000",per day,None,None,https://www.instagram.com/snapdiariesuae/,https://www.facebook.com/pages/category/Photographer/Snap-Diaries-114436539177142/,None
Crafts Photography,5.0,Seethammadara,4 reviews,Photo + Video,"50,000",per day,craftsphoto@charter.net,+1 864-226-0828,None,https://www.facebook.com/pages/category/Photographer/Crafts-Photography-266951556225/,http://craftsphotography.net/
I Pic Photography,4.5,Allipuram,1 review,Photo + Video,"60,000",per day,None,None,None,None,None
JMJ Digital Photography,5.0,Railway New Colony,2 reviews,Photo + Video,"35,000",per day,vijayvictor67@gmail.com,9945856806,None,https://www.facebook.com/jmjphotogrphy/,None
Studio M,5.0,Visakhapatnam,1 review,Photo + Video,"50,000",per day,mazharmafia1@gmail.com,9924013563,https://www.instagram.com/studiom.f8/?hl=en,https://www.facebook.com/StudioMazharSalon/,None
PR Photography,5.0,Madhavadhara,1 review,Photo + Video,"70,000",per day,None,None,None,None,None
Samson Kosana Photography,5.0,Dwaraka Nagar,1 review,Photo + Video,"80,000",per day,None,None,https://www.instagram.com/samson_kosana_photography/?hl=en,https://www.facebook.com/samosonkosana/,None
Pooja Universal Digital Studio,5.0,MVP Colony,1 review,Photo + Video,"35,000",per day,None,None,None,None,None
Alt Studio,4.5,Railway New Colony,2 reviews,Photo + Video,"1,50,000",per day,vamsi@altstudio.in,8106600391,https://www.instagram.com/altstudiouk/?hl=en,https://www.facebook.com/altstudio.in/,http://www.altstudio.in/
Somesh Photography,5.0,MVP Colony,7 reviews,Photo + Video,"1,00,000",per day,someshphotography@gmail.com,☎ :+91 9440326325,https://www.instagram.com/somesh_chavan1/?hl=en,https://www.facebook.com/someshphotographyvizag9440326325/,http://www.someshphotography.com/
Amar GoPro,5.0,Madhurawada,2 reviews,Photo + Video,"55,000",per day,amar.gopro@gmail.com,8008848222,https://www.instagram.com/amargopro/?hl=en,https://www.facebook.com/AmarGoPr0/,https://www.youtube.com/channel/UC2adNgmAgUNlE85Rgc3xyUg
Vizag Wedding Photography,4.8,Kancharapalem,5 reviews,Photo + Video,"1,00,000",per day,None,None,None,None,None
Satish Photography,5.0,MVP Colony,1 review,Photo + Video,"75,000",per day,satishmahabier@hotmail.com,None,https://www.instagram.com/satishphotography.in/?hl=en,https://www.facebook.com/SatishPhotography2017/,http://www.satishphotography.com/
Sana photography,5.0,MVP Colony,1 review,Photo + Video,"37,000",per day,sanasravanth@gmail.com,9533144630,https://www.instagram.com/mlle_sana_photography/?hl=en,https://www.facebook.com/sanafotography/,http://www.fb.com/sanaphotography
N Mark Studios,4.9,Seethammadara,11 reviews,Photo + Video,"50,000",per day,nmarkstudioss@gmail.com,9949840820,https://www.instagram.com/nmarkstudios/?hl=en,https://www.facebook.com/nmarkstudios/,None
Geeta Meher Photography,5.0,Dwaraka Nagar,1 review,Photo + Video,"60,000",per day,mail:gmeher@hotmail.c… See More,8790739107,https://www.instagram.com/geeta_meher_photography/?hl=en,https://www.facebook.com/GeetaMeherPhotography/,None
