Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Tarun Video Graphics,5,Kamla Nagar,15 reviews,Photo + Video,"25,000",per day,,,None,https://www.facebook.com/tarunvideographics/,
Wedding Door,4.6,Civil Lines,24 reviews,Photo + Video,"49,000",per day,,,None,https://www.facebook.com/weddingdoor/,
Mk Studio,5,Civil Lines,1 review,Photo + Video,"25,000",per day,,,https://www.instagram.com/mk_studio_official/?hl=en,https://www.facebook.com/Mukeshnayak143/,
Speed Color Lab,5,Agra,1 review,Photo + Video,"50,000",per day,,,https://www.instagram.com/speedcolorlab/?hl=en,https://www.facebook.com/speedcolorlabagra/posts/personalized-led-photo-framesome-special-moments-requires-a-beautiful-framebuy-p/2491852437724742/,
Om Sharma Photography,4.9,Agra Cantt,14 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/om_sharma_photography/?hl=en,https://www.facebook.com/439938269513443/posts/book-your-wedding-or-pre-weddingom-sharma-photography-7300938709/1208040649369864/,
Isha Video Films,4.9,Sikandra,6 reviews,Photo + Video,"35,000",per day,,,https://www.instagram.com/weddingsbyishafilms/?hl=en,https://www.facebook.com/IshaFilms/,
Studio Sagar,4.8,Agra,10 reviews,Photo + Video,"35,000",per day,,,None,https://www.facebook.com/studiosagar0/,
Aanand TIwari Photography,4.5,Sikandra,1 review,Photo + Video,"50,000",per day,,,https://www.instagram.com/anandntiwari/?hl=en,https://www.facebook.com/Aanandtiwariphotography/services/?service_id=1938085906279009,
In Focus Studio,5,Kamla Nagar,1 review,Photo + Video,"31,000",per day,,,https://www.instagram.com/in_focus_studios/?hl=en,https://www.facebook.com/pages/category/Photography-Videography/IN-FOCUS-studio-350483006057307/,
GV Studio,4.9,Lohamandi,17 reviews,Photo + Video,"45,000",per day,,,https://www.instagram.com/gv_studios/?hl=en,https://www.facebook.com/GVStudioThanjavurOfficial/,
Pratik Studio,4.9,Agra,5 reviews,Photo + Video,"45,000",per day,,,None,None,
Shoaib Photography,5,Rakabganj,2 reviews,Photo + Video,"70,000",per day,,,https://www.instagram.com/shoaibphotography_/?hl=en,https://www.facebook.com/Shoaibmodelingphotography/,
Dirend Kain Photography,5,Sadar Bazar,1 review,Photo + Video,"35,000",per day,,,https://www.instagram.com/direndkainphotography/,https://www.facebook.com/direndkainphotography/,
Arpan Bhargava Cine Productions,5,Shahganj,6 reviews,Photo + Video,"1,00,000",per day,,,None,https://www.facebook.com/arpanbhargavacineproductions/,
Shiva Art Studio,5,Agra,8 reviews,Photo + Video,"45,000",per day,,,https://www.instagram.com/shivaartstudio/?hl=en,https://m.facebook.com/shivaartstudio/photos/?ref=page_internal&mt_nav=0,
