Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Mb Photography,5.0,Daulat Ganj,2 reviews,Photo + Video,"11,00,000",per day,,,https://www.instagram.com/photographymb/?hl=en,https://www.facebook.com/mbisigphoto/,
PhotoBox Photography,5.0,Gwalior,1 review,Photo + Video,"45,000",per day,,,None,https://www.facebook.com/PhotoboxRanchi/,
Team Shilpa Studio,5.0,Gwalior,1 review,Photo + Video,"45,000",per day,,,None,https://www.facebook.com/teamshilpastudio/,
Earthquake Wedding Studio,5.0,Gwalior,1 review,Photo + Video,"52,000",per day,,,https://www.instagram.com/wedding_digital_photographer/,https://www.facebook.com/Wedpg/,
Chitragraphy India,5.0,Gwalior,15 reviews,Photo + Video,"70,000",per day,,,https://www.instagram.com/chitragraphy.in/?hl=en,https://www.facebook.com/chitrragraph/,
Amardeep Production,5.0,Gwalior,1 review,Photo + Video,"65,000",per day,,,None,https://www.facebook.com/AmarDeepStudio/,
Momento Photography,5.0,Thatipur,2 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/momentophotography.in/?hl=en,https://www.facebook.com/Momentophotographystudios/,
The Real Knowledge of Entertainment,5.0,Gwalior,6 reviews,Photo + Video,"65,000",per day,,,None,None,
Jay Digital Studio,5.0,Deen Dayal Nagar,1 review,Photo + Video,"55,000",per day,,,https://www.instagram.com/jay_digital_studio_776/,https://www.facebook.com/jaydijitalstudio/,
Filmshastra,5.0,Gwalior,3 reviews,Photo + Video,"55,000",per day,,,https://www.instagram.com/filmshastra/,https://www.facebook.com/pages/category/Photography-Videography/FilmShastra-107742244254731/,
Ajay Movies Photography & Videography,4.8,Gwalior,3 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/ajay_photography_films_/?hl=en,None,
Madhu Digital Studio,5.0,Gwalior,9 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/madhu.digitals.jmd/?hl=en,https://www.facebook.com/madhuphotography.hub/,
