Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Jodi Clicker,5.0,Meerut,5 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/jodi_clickerr/?hl=en,https://www.facebook.com/JodiClickers/,
Grover Color Lab,5.0,Meerut,1 review,Photo + Video,"60,000",per day,,,https://www.instagram.com/grovercolorlab/,https://www.facebook.com/pritendergrover/,
Lens Queen Photography,5.0,Meerut,6 reviews,Photo + Video,"45,000",per day,,,https://www.instagram.com/lensqueenphotography/?hl=en,https://www.facebook.com/lensquern/,
Eden Digital Lab & Studio,5.0,Meerut,5 reviews,Photo + Video,"32,000",per day,,,https://www.instagram.com/edendigitallabs/?hl=en,https://www.facebook.com/pages/category/Photography-Videography/Eden-Digital-Lab-Studio-Meerut-656365201474329/,
Vansh Pixography,5.0,Meerut,10 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/prashantkasana2500/,https://www.facebook.com/Bhanupixography/,
BR Studio,5.0,Meerut,1 review,Photo + Video,"11,000",per day,,,None,None,
Ayush Clicks,5.0,Meerut,1 review,Photo + Video,"30,000",per day,,,None,None,
The Wedding Memories,5.0,Meerut,1 review,Photo + Video,"60,000",per day,,,https://www.instagram.com/the.wedding.memories/?hl=en,https://www.facebook.com/aakashtheweddingmemories/,
Nitin Raj Photography,5.0,Meerut,2 reviews,Photo + Video,"47,000",per day,,,None,https://www.facebook.com/pages/category/Photographer/Nitin-Raj-Photography-407937306001759/,
Vidur Studio,5.0,Meerut,2 reviews,Photo + Video,"58,000",per day,,,https://www.instagram.com/vidurstudio/?hl=en,https://www.facebook.com/vidurstudio/,
Meraki Storytellers,5.0,Meerut,1 review,Photo + Video,"50,000",per day,,,https://www.instagram.com/storytellersmeraki/,https://www.facebook.com/merakistorytelles/,
Chopra Studio,5.0,Meerut,1 review,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/Chopra-studio-Wedding-Photo-Grappher-278014659398165/posts,
Dheeraj Bhai Photo Wala,4.8,Meerut,3 reviews,Photo + Video,"35,000",per day,,,https://www.instagram.com/dhiraj12_kr34/,https://www.facebook.com/dheeraj.bhai.7545708,
Technica Studio,5.0,Meerut,14 reviews,Photo + Video,"29,000",per day,,,None,https://www.facebook.com/TECHNICA.STUDIO/,
Rey Production,5.0,Meerut,2 reviews,Photo + Video,"25,000",per day,,,https://www.instagram.com/atulsom/?hl=en,https://www.facebook.com/assom009/,
Dream House Studios,5.0,Meerut,4 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/dhstudiosatl/?hl=en,https://www.facebook.com/thedreamhousestudio/,
Lala Photo Studio,Meerut,No Reviews,Photo + Video,"25,000",per day,None,,,https://www.instagram.com/lalaphotographylv/?hl=en,https://www.facebook.com/lalaphotographylv/,
Radha Krishna Digital Color lab & Studio,Meerut,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://hu-hu.facebook.com/Radha-Krishna-Digital-Color-lab-Studio-181579818591229/posts/?ref=page_internal,
Professional Click Point,2.5,Meerut,1 review,Photo + Video,"55,000",per day,,,None,https://www.facebook.com/Professional-click-point-101857638168393/about/,
Studio Rishi,Meerut,No Reviews,Photo + Video,"35,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/Studio-Rishi-114834245706555/,
Toshani Films,Meerut,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/toshanifilms/,https://www.facebook.com/Maa.Durga.Jai.Mata.Di/,
Studio Lalit,Meerut,No Reviews,Photo + Video,"52,000",per day,None,,,https://www.instagram.com/lalitartstudio/?hl=en,https://www.facebook.com/lalitartstudio/,
Prashant Studio,Meerut,No Reviews,Photo + Video,"20,000",per day,None,,,https://www.instagram.com/prashant.studio/,https://www.facebook.com/prashantstudioo/,
Vanshika Photo Studios,Meerut,No Reviews,Photo + Video,"30,000",per day,None,,,https://www.instagram.com/vanshika.studio/,https://www.facebook.com/pages/category/Photographer/Vanshika-photo-studio-2625035830857473/,
Mahesh Digital Studio,Meerut,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/Mahesh-Digital-Studio-557870664551773/about/,
Studio Pankaj,Meerut,No Reviews,Photo + Video,"33,000",per day,None,,,None,https://www.facebook.com/WWW.PANKAJ.STUDIO.IN/,
Padam Malhotra Photography,Meerut,No Reviews,Photo + Video,"50,000",per day,None,,,https://instagram.com/padam.malhotra,https://www.facebook.com/Padam.yes/,
SB Studio,Meerut,No Reviews,Photo + Video,"37,000",per day,None,,,None,https://www.facebook.com/Soluncev.SB.Studio/,
Singhlens Creations,Meerut,No Reviews,Photo Package,"16,000",per day,None,,,https://www.instagram.com/singhlens_creations/,https://www.facebook.com/Singhlenscreations/,
Nitin Studio,Meerut,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/nitindigitalstudio/,
Sahil Photography,Meerut,No Reviews,Photo + Video,"70,000",per day,None,,,https://www.instagram.com/sahilphotography_16/?hl=en,https://www.facebook.com/Sahil-Photography-455742214833692/,
Chetan Madhok Photography,Meerut,No Reviews,Photo + Video,"30,000",per day,None,,,https://www.instagram.com/chetan_madhok/?hl=en,https://www.facebook.com/chetanmadhokphotography2016/,
Wedding Album Creations,Meerut,No Reviews,Photo + Video,"30,000",per day,None,,,None,None,
Chanchal Films,Meerut,No Reviews,Photo + Video,"50,000",per day,None,,,None,None,
Soul Photography,Meerut,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/artandsoulphotography.in/?hl=en,https://www.facebook.com/soulphotography.co.in/,
Sagar Colour Lab & Studio,Meerut,No Reviews,Photo + Video,"32,000",per day,None,,,None,https://www.facebook.com/pages/category/Photography-Videography/SAGAR-Digital-COLOR-LAB-410798532707945/,
Rollin'360 Studio,Meerut,No Reviews,None,On Request,None,None,,,None,https://www.facebook.com/Rollin.360/,
Arpit Studio,Meerut,No Reviews,Photo + Video,"21,000",per day,None,,,https://www.instagram.com/arpitstudio/,https://www.facebook.com/pages/category/Local-Business/Arpit-Studio-175670932518025/,
Eagle Video Films,Meerut,No Reviews,Photo + Video,"55,000",per day,None,,,None,https://www.facebook.com/pages/category/Business-Center/Eagle-Video-Films-156568651549179/,
Suhani Wedding Studio,Meerut,No Reviews,Photo + Video,"60,000",per day,None,,,None,None,
Mathur Studio Photography,Meerut,No Reviews,Photo + Video,"37,000",per day,None,,,None,https://www.facebook.com/pages/category/Event-Videographer/Mathur-studio-photography-224826491519255/,
Chitrakala Photo Palace,Meerut,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/pages/category/Art/Chitrakala-Photo-palace-1322507284494741/,
John Creation Photography,Meerut,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/john.creation.37/photos/,
Vohra Studio,Meerut,No Reviews,Photo + Video,"38,000",per day,None,,,https://www.instagram.com/vohra_ji_fones/,https://www.facebook.com/VohraStudio/,
Sumit Sharma Photography,Meerut,No Reviews,Photo + Video,"22,000",per day,None,,,None,https://www.facebook.com/sumitsharmaphotograph/,
Sharad Photo Palace,Meerut,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/sharad.photo.palace/,
