Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Maya's Wedding Photography,5.0,Kankarbagh,19 reviews,Photo + Video,"65,000",per day,,,None,https://www.facebook.com/todankarmahendra90/,
Aks Production and Photgraphy,5.0,Gardanibagh,9 reviews,Photo + Video,"85,000",per day,,,https://www.instagram.com/aksproductionsphotography/?hl=en,https://www.facebook.com/aksproductionsjmd/,
Maharaja Studio,5.0,Rajendra Nagar,12 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/MaharajaStudios1/posts/,
Fantastic Foto,5.0,Gardanibagh,11 reviews,Photo + Video,"75,000",per day,,,None,https://www.facebook.com/ASHISHFOTOGRAPH/,
Fash Click,4.8,Rukanpura,13 reviews,Photo + Video,"70,000",per day,,,None,None,
Magik Pixels,4.9,Danapur,14 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/magik_pixels/?hl=en,https://www.facebook.com/Magikpixels/,
Pal Video Film,5.0,Anandpuri,15 reviews,Photo + Video,"35,000",per day,,,None,https://www.facebook.com/Palvideofilms/?ref=py_c,
KriSum Photography,5.0,Gardanibagh,11 reviews,Photo + Video,"70,000",per day,,,https://www.instagram.com/krisum.photography/?hl=en,https://www.facebook.com/KriSum.Photography/,
Clicking Shaadi,5.0,Patna,31 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/clickingshaadi/?hl=en,https://www.facebook.com/cshaadi/,
Sudhir Studio,4.7,Kankarbagh,16 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/studiosudhir/?hl=en,https://www.facebook.com/Studiosudhir/reviews/,
A wedding Film Makers,4.8,Gardanibagh,6 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/thewedding_filmmakers/?hl=en,None,
Picture Perfect Studio,5.0,Ramkrishan Nagar,1 review,Photo + Video,"40,000",per day,,,https://www.instagram.com/pictureperfect_studio/?hl=en,https://www.facebook.com/PicturePerfectStudioSD/,
Alexa Studio,4.9,Gardanibagh,4 reviews,Photo + Video,"75,000",per day,,,None,None,
Nilesh Dubey,4.9,Phulwari Sharif,5 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/nkumardubey/,https://www.facebook.com/public/Nilesh-Dubey,
Studio P.C,5.0,Rajendra Nagar,1 review,Photo + Video,"80,000",per day,,,None,None,
MVS Films Wedding Photography and Cinematography,5.0,Gardanibagh,4 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/MVS-Films-Wedding-Photography-and-Cinematography-246740079538463/?ref=py_c,
Heaven Production,5.0,Patna,3 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/hvn.prod/?hl=en,https://www.facebook.com/Heavenproduction2019/,
SmileBox Studios,5.0,Gardanibagh,1 review,Photo + Video,"45,000",per day,,,https://www.instagram.com/smileboxstudios/?hl=en,https://www.facebook.com/smileboxstudios/,
Wedding Video Mixing Lab,5.0,Patna,4 reviews,Photo + Video,"57,000",per day,,,None,https://www.facebook.com/WeddingVideoMixingLab.in/,
Wedding Tales,5.0,Kidwaipuri,4 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/weddingtales_prabu/?hl=en,None,
Campix Studios,4.8,Rukanpura,8 reviews,Photo + Video,"55,000",per day,,,https://www.instagram.com/campixstudios/,https://www.facebook.com/campixstudios/,
Rohit Roy Wedding films and Photography,5.0,Kankarbagh,2 reviews,Photo + Video,"80,000",per day,,,https://www.instagram.com/the_vow_studio/?hl=en,https://www.facebook.com/thevowstudioindia/,
