Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Prasang Pictures,5.0,Rajkot,3 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/prasang_pictures/?hl=en,https://www.facebook.com/Prasangpictures/,
Shayona Studio,4.9,Rajkot,8 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/shayonastudio/?hl=en,https://www.facebook.com/shayonastudio/,
Time Square Media Production,4.7,Rajkot,3 reviews,Photo Package,"37,000",per day,,,https://www.instagram.com/timesquare_official/,https://www.facebook.com/squaremedia2/,
Akash Tilavat Photography,5.0,Rajkot,1 review,Photo + Video,"45,000",per day,,,https://www.instagram.com/meghaakash/?hl=en,https://m.facebook.com/pages/Akash-Tilavat-Photography/672246516281761,
Wide Angle Films,4.8,Rajkot,6 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/wideanglefilm/,
Profilephotography.in,5.0,Rajkot,1 review,Photo + Video,"2,05,000",per day,,,None,https://www.facebook.com/pages/Profilephotographyin/299928954196100,
Hardik Makwana Photography,5.0,Rajkot,1 review,Photo + Video,"40,000",per day,,,https://www.instagram.com/makvana4029/?hl=en,https://www.facebook.com/hardikmakwanaphotography/,
Xclusiv Photographers,5.0,Rajkot,6 reviews,Photo + Video,"65,000",per day,,,https://www.instagram.com/xclusivphotographers/?hl=en,None,
Clickmaze Photography,5.0,Rajkot,1 review,Photo + Video,"45,000",per day,,,None,https://www.facebook.com/pages/category/Photography-Videography/Clickmaze-photography-684156315080690/,
Sangath Pictures Pvt Ltd,5.0,Rajkot,16 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/Int.wedding.photographer/,
Ravi Photography,4.8,Rajkot,3 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/raviphotographyjagraon/?hl=en,https://www.facebook.com/ravi.photography.candid/,
Shutter Half Photography,5.0,Rajkot,10 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/shutterhalf/?hl=en,https://www.facebook.com/HalfShutterPhotography/,
