Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Momentous Photography,5.0,Salem,1 review,Photo + Video,"1,00,000",per day,,,https://www.instagram.com/momentousfotography/?hl=en,https://www.facebook.com/momentousfotography/,
CBS Studioz,5.0,Salem,1 review,Photo + Video,"35,000",per day,,,https://www.instagram.com/cbsstudioz_salem/?hl=en,None,
DJ Photo Stories,5.0,Salem,2 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/DjPhotoStories/,
The Lovestruck Studios,5.0,Salem,2 reviews,Photo + Video,"90,000",per day,,,https://www.instagram.com/thelovestruckstudios/?hl=en,https://www.facebook.com/thelovestruckstudios/?ref=py_c,
RGP Photography,5.0,Salem,5 reviews,Photo + Video,"35,000",per day,,,https://www.instagram.com/rgp_clicks/?hl=en,https://www.facebook.com/RGPclicks/,
Carnival Studios,5.0,Salem,1 review,Photo + Video,"40,000",per day,,,https://www.instagram.com/carnivalstudios/?hl=en,https://www.facebook.com/CarnivalStudioss/,
Vivaham Photography,5.0,Salem,3 reviews,Photo + Video,"40,000",per day,,,None,https://www.facebook.com/vivah.ramganesh/,
Nakshatra Studioz,5.0,Salem,2 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/Nakshatrastudiozslm/,
Dilip Photography,5.0,Salem,2 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/dilipkumar_photography/?hl=en,https://www.facebook.com/Dilipbarotphotography/,
Sri Abirami Studio,5.0,Salem,1 review,Photo + Video,"45,000",per day,,,None,https://www.facebook.com/sriabiramistudio/,
Saravana Videos,Salem,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/saravanavideos/?hl=en,https://www.facebook.com/SALEMSARAVANAVIDEOS/,
Dum Dum Dum Studios,Salem,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/dumdum.studio/?hl=en,https://www.facebook.com/pages/category/Photography-Videography/Dum-Dum-Dum-Studios-515809471824653/,
IK Photography,Salem,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/ik._.photography/?hl=en,https://www.facebook.com/IK.Photo.G/,
Thanish Digital,Salem,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/thanishdigital/,
Happy Notch Photography,Salem,No Reviews,Photo + Video,"1,55,000",per day,None,,,None,https://www.facebook.com/Happynotchphotography/,
Navajyothi Digital Studio & Videos,Salem,No Reviews,Photo + Video,"33,000",per day,None,,,None,https://www.facebook.com/pages/category/Art/Spandana-digital-studio-mithanadka-339747399724252/,
House of FCP,Salem,No Reviews,Photo + Video,"1,00,000",per day,None,,,None,None,
Arun Digital Studio,Salem,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/arundigitalstudio/?hl=en,https://www.facebook.com/pages/category/Movie-Television-Studio/Arun-Digital-Studio-Video-375888855911954/,
I Digital,Salem,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/idigitaljorhatgarali/,
Bridalweds Photography,Salem,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/bridalweds_photography/,https://www.facebook.com/Bridalweds/?ref=page_internal,
NS Photographey,Salem,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/ns_photography___/?hl=en,https://www.facebook.com/nsphotography001/,
Candidpic Photography,Salem,No Reviews,Photo + Video,"67,000",per day,None,,,None,https://www.facebook.com/candidpicphotography/,
Surendhaar Studios,Salem,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/surendhaar_studios/?hl=en,https://www.facebook.com/surendhaarstudios/,
Guru's Photography,Salem,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/GurusPhotography/,
Mayon Studioz,Salem,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/mayonstudioz/?ref=py_c,
Vasantham Studios,Salem,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/vasanthamstudio/?hl=en,https://www.facebook.com/Vasanthamstudios/,
Zhagaram Photography,Salem,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/zhagaram_studios/?hl=en,https://www.facebook.com/zhagaramphotography/,
Studio7RK,Salem,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/studio7rkphotography/?hl=en,https://www.facebook.com/Studio7rk/,
Clickers Photography,Salem,No Reviews,Photo + Video,"75,000",per day,None,,,https://www.instagram.com/avatarclickersphotography/?hl=en,https://www.facebook.com/Clickersphotography22/?ref=py_c,
Eclipse Photography,Salem,No Reviews,Photo + Video,"30,000",per day,None,,,None,None,
