Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Kashmir Frames,5.0,Srinagar,1 review,Photo + Video,"60,000",per day,,,https://www.instagram.com/kashmirframes/?hl=en,https://www.facebook.com/kashmirframes/,
Sober Studio,5.0,Srinagar,1 review,Photo + Video,"30,000",per day,,,https://www.instagram.com/sober_studios/?hl=en,https://www.facebook.com/pages/category/Camera-Photo/sober-studio-115369070196188/,
Kasheen Productions,5.0,Srinagar,1 review,Photo + Video,"25,000",per day,,,https://www.instagram.com/kasheen_productions/?hl=en,https://www.facebook.com/pages/category/Photographer/Kasheen-Productions-2198140716899255/,
Creative Photography Kashmir,5.0,Srinagar,3 reviews,Photo + Video,"30,000",per day,,,https://www.instagram.com/creativephotographykashmir/?hl=en,https://www.facebook.com/creativephotographykashmir/,
Kashmir Image Palace,5.0,Srinagar,9 reviews,Photo + Video,"40,000",per day,,,None,https://www.facebook.com/pages/category/Movie-Theater/Kashmir-Image-Palace-203358066865780/,
Umar Nazir Photography,4.5,Srinagar,1 review,Photo + Video,"30,000",per day,,,https://www.instagram.com/umar_nazir_310/?hl=en,https://www.facebook.com/ommar.nazeer/,
Memorelic Productions,4.9,Srinagar,5 reviews,Photo + Video,"70,000",per day,,,https://www.instagram.com/memorelic_productions/?hl=en,https://www.facebook.com/memorelicproductions/,
Two Brother's Studio,5.0,Srinagar,25 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/twobrothersstudio/?hl=en,https://www.facebook.com/twobrotherstudio/,
Kashmir Creative Forever,5.0,Srinagar,1 review,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/KashmiriPhotographers/,
Next Gen Photography,5.0,Srinagar,2 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/NextGenPhotoSolutions/,
Next Photo,4.7,Srinagar,5 reviews,Photo + Video,"20,000",per day,,,None,https://www.facebook.com/nextofficial/photos/,
Imad Clicks,5.0,Srinagar,1 review,Photo + Video,"60,000",per day,,,https://www.instagram.com/imadclicks/?hl=en,https://www.facebook.com/imadclicks/,
Kashmir Wedding,5.0,Srinagar,4 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/kashmirwedding/?hl=en,https://www.facebook.com/WeddingKashmir/,
Ronak Photo Films,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/ronakchheda.31/?hl=en,https://www.facebook.com/RONAK-PHOTO-FILMS-724486354557162/services,
MG's Wedding Cinematography,Srinagar,No Reviews,Photo + Video,"25,000",per day,None,,,https://www.instagram.com/mgs.wedding.cinematography/?hl=en,https://www.facebook.com/mgsweddingcinematography/,
Capture by Aadil Rehbar,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/kashmir_capture/?hl=en,https://www.facebook.com/CapturebyAadilRehbar/,
Zool Production,Srinagar,No Reviews,Photo + Video,"4,50,000",per day,None,,,https://www.instagram.com/zool_production/?hl=en,https://www.facebook.com/zoolteam/,
SR Wedding PhotoGraphy,0.5,Srinagar,1 review,Photo + Video,"40,000",per day,,,https://www.instagram.com/srwedding_photograher/,https://www.facebook.com/srimages11/,
Welcome Digital Colour Lab,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://m.facebook.com/Welcome-Digital-Colour-Lab-2041543839195297/,
Gainer Studio,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/mayankmaithani007/,
Arsalan Manzoor Fashion Photography,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://m.facebook.com/Arsalanmanzoorfashionphotography/photos/?ref=page_internal&mt_nav=0,
Raj Studio,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/Yogesh7874/,
Mubi Video Film Makers,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,None,None,
HD Planet,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,None,None,
Bhat Studio,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/praveenbhat/?hl=en,https://www.facebook.com/Bhat-Studio-1195309700572058/,
Afreen Studio,Srinagar,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/afreenstudio/?hl=en,None,
Screen Kashmir Studio,Srinagar,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/screenkashmirstudio/,
Arsh Fotografi,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/arshphotography/?hl=en,https://www.facebook.com/arsharshid555/,
Akram Photography,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/rehanakram.photography/?hl=en,https://www.facebook.com/RehanAkramPhotography/,
Image Studio Kashmir,Srinagar,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/imagestudiokashmir/,
K K Studios,Srinagar,No Reviews,Photo + Video,"70,000",per day,None,,,https://www.instagram.com/kkstudioz/?hl=en,https://www.facebook.com/Iamkkstudios/,
The Photo Booth,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/thephotobooth.in/,
Little Black Book Jammu Kashmir,Srinagar,No Reviews,Photo + Video,"15,000",per day,None,,,None,None,
Floating Digital Studio,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/Floating-Digital-Studio-774385642747691/,
Shan Photography,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/shanphotographyinc/?hl=en,https://www.facebook.com/photographybyshan/,
Bliss Eleven Studio,Srinagar,No Reviews,Photo + Video,"25,000",per day,None,,,https://www.instagram.com/bliss11/?hl=en,https://www.facebook.com/blisseleven/?ref=py_c,
Expressions,Srinagar,No Reviews,Photo + Video,"70,000",per day,None,,,None,None,
Kashmir Star Shots,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/kashmirstarshots/,https://www.facebook.com/kashmirstarshots/,
RJ Wedding Production,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/rjproductions_official/?hl=en,https://www.facebook.com/rjproductionsofficial/,
Wedding Maestro,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/marriagemaestros/?hl=en,https://www.facebook.com/WeddingMaestroCards/,
Kashmir Wedding Frames,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/kashmir_wedding_frames/?hl=en,https://www.facebook.com/kashmirweddingframes/,
