Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Rajat Gupta Photography,5.0,Chetganj,9 reviews,Photo + Video,"2,50,000",per day,,,https://www.instagram.com/anecdotesbyrajatgupta/?hl=en,https://www.facebook.com/rajatguptaphotographyvaranasi/,
The WeddingShoot,5.0,Varanasi,17 reviews,Photo + Video,"65,000",per day,,,https://www.instagram.com/the_weddingshoot/,https://m.facebook.com/1262984814092759,
Nikhil's Portrait Vision,5.0,Sidhgiribagh,17 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/nikhilportraitvision/?hl=en,https://www.facebook.com/pages/category/Photographer/Nikhils-Portrait-Vision-105687304801322/,
The Wedding Myntra,5.0,Varanasi,24 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/theweddingmyntra/,
RK Films,5.0,Varanasi,7 reviews,Photo + Video,"50,000",per day,,,None,None,
Vishal Gupta Photography,5.0,Jaitpura,1 review,Photo + Video,"80,000",per day,,,https://www.instagram.com/gv9541847/?hl=en,https://www.facebook.com/vishalguptaphotography/,
Jasu Studio,5.0,Mughalsarai,3 reviews,Photo + Video,"30,000",per day,,,None,https://m.facebook.com/Jasu-Studio-104397877765555/,
Vinay Creation,5.0,Chetganj,1 review,Photo + Video,"55,000",per day,,,None,https://www.facebook.com/vinayfashionllp/,
D.C.Photography,4.9,Varanasi,5 reviews,Photo + Video,"65,000",per day,,,https://www.instagram.com/dc.photography._/,https://www.facebook.com/DCPhotoGallery,
JDS Photography,4.9,Sidhgiribagh,7 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/jdsphotography/?hl=en,https://www.facebook.com/jdsphotographybaroda/,
VRS Photography,5.0,Varanasi,4 reviews,Photo + Video,"18,000",per day,,,None,https://www.facebook.com/vinaykumarvrs/,
Aishwary Event Photoraphy,5.0,Varanasi,5 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/aishwaryavideos/,
Karan Kapoor Photography,5.0,Varanasi,1 review,Photo + Video,"65,000",per day,,,https://www.instagram.com/karankapoor_photographer/?hl=en,https://www.facebook.com/Karan-kapoor-photography-1487601864630981/,
Photo Soul,4.9,Varanasi,6 reviews,Photo + Video,"30,000",per day,,,None,None,
HR Clix,5.0,Sidhgiribagh,12 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/himanshu.raj.verma/?hl=en,https://www.facebook.com/officialHRCLIX/,
The Filmy Weddings,5.0,Chaukaghat,14 reviews,Photo + Video,"55,000",per day,,,None,https://www.facebook.com/filmyweddings/,
Surya Jaiswal Photography,5.0,Varanasi,4 reviews,Photo + Video,"35,000",per day,,,https://www.instagram.com/jaiswal_surya1/?hl=en,https://www.facebook.com/suryajaiswalphotography/,
Shootwoot.in,5.0,Mahmoorganj,4 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/shootwoot.in/,
WeddingBaazz,5.0,Varanasi,10 reviews,Photo + Video,"45,000",per day,,,https://www.instagram.com/weddingbaazz/?hl=af,https://www.facebook.com/weddingbaazz/,
RKS Varanasi,4.9,Varanasi,5 reviews,Photo + Video,"30,000",per day,,,None,None,
Royal Ved's Photography & Films,4.9,Chetganj,18 reviews,Photo + Video,"70,000",per day,,,None,https://www.facebook.com/VEDANT38/,
Professional Art,5.0,Varanasi,11 reviews,Photo + Video,"60,000",per day,,,None,None,
Sneha Sen Photography,5.0,Varanasi,2 reviews,Photo + Video,"85,000",per day,,,https://www.instagram.com/snehasenphotography/?hl=en,https://www.facebook.com/SnehaSenPhotography5,
Sai Nath Studio,4.5,Kotwali,1 review,Photo + Video,"80,000",per day,,,None,https://www.facebook.com/sainathstudio77/,
K&N Photography,5.0,Varanasi,1 review,Photo + Video,"45,000",per day,,,None,None,
Ritik Keshri Photography,5.0,Jaitpura,10 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/_ritik_keshri/,https://www.facebook.com/pages/category/Photographer/Ritik-keshri-photography-375818196546189/,
Royal Event Planners,5.0,Varanasi,5 reviews,Photo + Video,"70,000",per day,,,https://www.instagram.com/royal_event_planners1/?hl=en,https://www.facebook.com/Royal-Event-Management-1343781115723933/,
Singh's Professional Photography,5.0,Mahmoorganj,1 review,Photo + Video,"70,000",per day,,,None,https://www.facebook.com/singhsfoto/,
Singh Digital Films,5.0,Varanasi,10 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/singhdigitalfilms/,https://www.facebook.com/singhdigitalfilms/,
Yaarka Studios,5.0,Varanasi,4 reviews,Photo + Video,"25,000",per day,,,https://www.instagram.com/divyansh_ys/,https://m.facebook.com/Ashirbad.Studio.Live/posts/541024836832030,
One Frame Photography,5.0,Varanasi,23 reviews,Photo + Video,"70,000",per day,,,None,https://www.facebook.com/OneFramePhotographyStudio/,
Sagar Soni Photography,4.9,Varanasi,5 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/sagarsoniphotography/?hl=en,https://www.facebook.com/sagarsoniphotography/,
Manav Kumar Photography,4.3,Pandeypur,9 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/weddingbumps/photos/,
Todd Studios,4.0,Varanasi,6 reviews,Photo + Video,"1,25,000",per day,,,https://www.instagram.com/christophertoddstudios/?hl=en,https://www.facebook.com/toddsstudios/,
Universe Studio,5.0,Kotwali,2 reviews,Photo + Video,"40,000",per day,,,None,https://www.facebook.com/UniverseStudioOfficial/,
Anubhav Gupta Photography,5.0,Lanka,3 reviews,Photo + Video,"30,000",per day,,,https://www.instagram.com/anubhavguptaa/?hl=en,https://www.facebook.com/pages/category/Photographer/Anubhav-Gupta-Photography-1375583632725658/,
Image Clicks Photography,4.8,Varanasi,6 reviews,Photo + Video,"40,000",per day,,,None,https://www.facebook.com/Shiv.Soni1990/,
The Shooters Photography,Varanasi,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/the.shooters.photography/?hl=en,https://www.facebook.com/TheShootersOfficial/?ref=py_c,
RJP Studio,Bhelupur,No Reviews,None,On Request,None,None,,,https://instagram.com/studiorjp,https://www.facebook.com/rjpstudio/,
Dramatic Group,Kotwali,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/dramaticgroupfilms/?hl=en,https://www.facebook.com/dramaticgroupfilms/,
Soul Creation,2.5,Varanasi,2 reviews,Photo + Video,"40,000",per day,,,None,https://www.facebook.com/soulcreationvns/,
Hudati Studio,1.0,Bangali Tola,1 review,Photo + Video,"60,000",per day,,,None,None,
S. K. Studio,Shivpur,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/skstudio__/?hl=en,https://www.facebook.com/skstudiofficial/,
Wedding Clicks,Sidhgiribagh,No Reviews,Photo + Video,"80,000",per day,None,,,https://www.instagram.com/weddingclicksbyajay/,https://www.facebook.com/The-Wedding-Clicks-1543810085933194/,
Vinamra Kapoor Photography,Varanasi,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/VinamraKapoorPhotography/,
RS Wedding Photograph,2.0,Kotwali,1 review,Photo + Video,"60,000",per day,,,None,None,
Vivek Sahu Photowala,Jaitpura,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/vivekphotowala/?hl=en,https://www.facebook.com/vivekphotowala/,
MJ Studios,Jaitpura,No Reviews,Photo + Video,"33,000",per day,None,,,https://www.instagram.com/mjstudios610/,https://www.facebook.com/MJ.Studio.Film.Photography/,
Shraddha Snap Shot,Shivpur,No Reviews,Photo + Video,"36,000",per day,None,,,None,https://www.facebook.com/ShraddhaPhotos/,
Rajan Video Lab & Studios,Kotwali,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/rajanvideolab/?hl=en,https://www.facebook.com/rajanvideolab/,
Kavya Films,Varanasi,No Reviews,Photo + Video,"70,000",per day,None,,,None,None,
A-SHOT Photography,3.5,Varanasi,3 reviews,Photo + Video,"30,000",per day,,,None,None,
Neeraj Graphics,Mahmoorganj,No Reviews,Photo + Video,"1,20,000",per day,None,,,None,https://www.facebook.com/pages/category/Local-Business/Neeraj-Graphics-206117846898991/,
MTH Studio Photography,Varanasi,No Reviews,Photo + Video,"65,000",per day,None,,,https://www.instagram.com/explore/locations/580650982298824/mth-studio-photography?hl=en,https://fi-fi.facebook.com/mthaloka/,
Kaushal Photography,Ajagara,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/kaushal.photography/?hl=en,https://www.facebook.com/KaushalPhotographyOfficialPage/,
SRJ Photography,Newada,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/srjcandid/?hl=en,https://www.facebook.com/srjphotographer/,
Wedding Mintra,4.0,Mahmoorganj,10 reviews,Photo + Video,"85,000",per day,,,https://www.instagram.com/weddingmintra/?hl=en,https://www.facebook.com/weddingmintra/,
Anil Studio & Photography,Mahmoorganj,No Reviews,Photo + Video,"48,000",per day,None,,,https://www.instagram.com/annyl_studio/,https://www.facebook.com/anilstudioandcompany/,
Chhaayakar Photography,Mahmoorganj,No Reviews,Photo + Video,"85,000",per day,None,,,None,None,
Framed Figments,Varanasi,No Reviews,Photo + Video,"70,000",per day,None,,,https://www.instagram.com/framedfigments/?hl=en,https://www.facebook.com/framedfigments/,
Glamour Digitals,Varanasi,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/bestweddingphotographerinindia/,
City Light Studio,Sidhgiribagh,No Reviews,Photo + Video,"1,10,000",per day,None,,,None,https://www.facebook.com/CityLightCosplay/,
Sarthak Photography,Varanasi,No Reviews,Photo Package,"35,000",per day,None,,,https://www.instagram.com/sarthakpatnaik/?hl=en,https://www.facebook.com/KeshariSarthak/,
Kumar Photography N Designs,Varanasi,No Reviews,Photo + Video,"70,000",per day,None,,,https://www.instagram.com/rishabhkphotography/?hl=en,https://www.facebook.com/amankumardesigns/photos/,
Reflection Photography,Mahmoorganj,No Reviews,Photo + Video,"48,000",per day,None,,,None,https://www.facebook.com/reflectionsstudio.in/,
Chandan Photographic,Bangali Tola,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/chandan_photography/?hl=en,https://www.facebook.com/ChandanGowdaPhotography/,
Shivam Studio,Varanasi,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/ShivamstudioVG/,
JMV Movie,Kotwali,No Reviews,Photo + Video,"85,000",per day,None,,,https://www.instagram.com/jmvfilmss/,https://www.facebook.com/jmvfilmsspain/,
The Street Arab,Ajagara,No Reviews,Photo + Video,"35,000",per day,None,,,None,None,
Varanasi Photography Services,Bhelupur,No Reviews,Photo + Video,"35,000",per day,None,,,None,None,
Gautam Bijlani Photography,Varanasi,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/photoflashdigital/,https://www.facebook.com/Gautambijlaniphotography/,
Prabhakar Photography,Varanasi Cantonment,No Reviews,None,On Request,None,None,,,https://www.instagram.com/prabhakar_sah_photography/?hl=en,https://www.facebook.com/prabhakarsah/,
Photo Flash Studio,Bhelupur,No Reviews,Photo + Video,"27,000",per day,None,,,None,https://www.facebook.com/photographybyflash/,
Jaiswal Studio,Sidhgiribagh,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/jaiswal_studio5515/?hl=en,https://www.facebook.com/jaiswalstudio1985/,
