Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Udai Candid Photography,5.0,Ram Nagar,4 reviews,Photo + Video,"45,000",per day,,,None,https://www.facebook.com/udai009/,
35mm Arts,5.0,Pedda Waltair,7 reviews,Photo + Video,"60,000",per day,,,None,None,
Yellow Maple,5.0,Visakhapatnam,15 reviews,Photo + Video,"50,000",per day,,,None,None,
AR Akash Photography,5.0,Dwaraka Nagar,15 reviews,Photo + Video,"55,000",per day,,,https://www.instagram.com/ar_akash_photography/?hl=en,https://www.facebook.com/ARPhotography1009/,
3 Art Studio,5.0,Madhurawada,31 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/3Artstudios/,
Wedding Stories by Sree,5.0,Gajuwaka,1 review,Photo + Video,"75,000",per day,,,None,https://www.facebook.com/weddingstoriesbysree/,
Katch Photography,5.0,Maddilapalem,1 review,Photo + Video,"60,000",per day,,,https://www.instagram.com/katch_photography/?hl=en,https://www.facebook.com/katchphotography7/,
Snap Diaries,5.0,Gajuwaka,2 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/snapdiariesuae/,https://www.facebook.com/pages/category/Photographer/Snap-Diaries-114436539177142/,
Crafts Photography,5.0,Seethammadara,4 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/pages/category/Photographer/Crafts-Photography-266951556225/,
I Pic Photography,4.5,Allipuram,1 review,Photo + Video,"60,000",per day,,,None,None,
JMJ Digital Photography,5.0,Railway New Colony,2 reviews,Photo + Video,"35,000",per day,,,None,https://www.facebook.com/jmjphotogrphy/,
Studio M,5.0,Visakhapatnam,1 review,Photo + Video,"50,000",per day,,,https://www.instagram.com/studiom.f8/?hl=en,https://www.facebook.com/StudioMazharSalon/,
PR Photography,5.0,Madhavadhara,1 review,Photo + Video,"70,000",per day,,,None,None,
Samson Kosana Photography,5.0,Dwaraka Nagar,1 review,Photo + Video,"80,000",per day,,,https://www.instagram.com/samson_kosana_photography/?hl=en,https://www.facebook.com/samosonkosana/,
Pooja Universal Digital Studio,5.0,MVP Colony,1 review,Photo + Video,"35,000",per day,,,None,None,
Alt Studio,4.5,Railway New Colony,2 reviews,Photo + Video,"1,50,000",per day,,,https://www.instagram.com/altstudiouk/?hl=en,https://www.facebook.com/altstudio.in/,
Somesh Photography,5.0,MVP Colony,7 reviews,Photo + Video,"1,00,000",per day,,,https://www.instagram.com/somesh_chavan1/?hl=en,https://www.facebook.com/someshphotographyvizag9440326325/,
Amar GoPro,5.0,Madhurawada,2 reviews,Photo + Video,"55,000",per day,,,https://www.instagram.com/amargopro/?hl=en,https://www.facebook.com/AmarGoPr0/,
Vizag Wedding Photography,4.8,Kancharapalem,5 reviews,Photo + Video,"1,00,000",per day,,,None,None,
Satish Photography,5.0,MVP Colony,1 review,Photo + Video,"75,000",per day,,,https://www.instagram.com/satishphotography.in/?hl=en,https://www.facebook.com/SatishPhotography2017/,
Sana photography,5.0,MVP Colony,1 review,Photo + Video,"37,000",per day,,,https://www.instagram.com/mlle_sana_photography/?hl=en,https://www.facebook.com/sanafotography/,
N Mark Studios,4.9,Seethammadara,11 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/nmarkstudios/?hl=en,https://www.facebook.com/nmarkstudios/,
Geeta Meher Photography,5.0,Dwaraka Nagar,1 review,Photo + Video,"60,000",per day,,,https://www.instagram.com/geeta_meher_photography/?hl=en,https://www.facebook.com/GeetaMeherPhotography/,
Dolly Studio,4.5,Ram Nagar,1 review,Photo + Video,"34,000",per day,,,https://www.instagram.com/dollyjstudio/?hl=en,https://www.facebook.com/DollyJStudio/,
Digi Memories,5.0,Endada,1 review,Photo + Video,"1,50,000",per day,,,https://www.instagram.com/digimemoriespro/?hl=en,https://www.facebook.com/digimemoriespro/,
Studioz by Siddella,5.0,Ram Nagar,1 review,Photo + Video,"1,20,000",per day,,,None,None,
Raj Candid Photography,4.9,Gajuwaka,16 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/raj__photography/?hl=en,https://www.facebook.com/rajdigitals00/,
Rok Photography,5.0,Visakhapatnam,3 reviews,Photo + Video,"45,000",per day,,,https://www.instagram.com/_rokphotography_/,https://www.facebook.com/rokphoto/,
GS Photography,5.0,Dwaraka Nagar,1 review,Photo + Video,"55,000",per day,,,https://www.instagram.com/g.s.photographer/?hl=en,https://www.facebook.com/gsphotography4925/,
Moments Edge Photos,5.0,Kurmannapalem,1 review,Photo + Video,"70,000",per day,,,None,https://www.facebook.com/studiomomentsedge/,
Arni Photography,5.0,Dwaraka Nagar,43 reviews,Photo + Video,"55,000",per day,,,None,https://www.facebook.com/Arunikitha/videos/arniphotography/3463470507060488/,
Baba Video and Photo Studio,5.0,MVP Colony,2 reviews,Photo + Video,"60,000",per day,,,None,None,
Murali Photography,5.0,Akkayyapalem,1 review,Photo + Video,"80,000",per day,,,https://www.instagram.com/photography.murali/?hl=en,https://www.facebook.com/pages/category/Photography-Videography/Murali-photography-111995470269085/,
Rachel Photography,5.0,MVP Colony,8 reviews,Photo + Video,"75,000",per day,,,None,https://www.facebook.com/photogbyrachel/,
Fx Photography,4.0,Port Area,1 review,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/fxphotography/,
Apple Studio Vizag,5.0,Pedda Waltair,1 review,Photo + Video,"38,000",per day,,,None,https://www.facebook.com/Applestudiovizag-342952402565314/about/?ref=page_internal,
Camzooms,5.0,Visakhapatnam,2 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/camzooms/?hl=en,https://www.facebook.com/camzooms/,
Preesan Photography,5.0,Ram Nagar,1 review,Photo + Video,"1,00,000",per day,,,https://www.instagram.com/johnnypreest/?hl=en,https://www.facebook.com/santoshpreesan/,
Moment Capturez Photography,5.0,Gajuwaka,6 reviews,Photo + Video,"55,000",per day,,,https://www.instagram.com/momentcaptureclickz/?hl=en,https://www.facebook.com/MomentCapturez/,
Magic Moments,5.0,Seethammadara,1 review,On Request,None,None,,,None,None,
Mohan Digital Studio,Asilmetta,No Reviews,Photo + Video,"36,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/MOHAN-Digital-Studio-351569695532527/,
Studio Stanley,Visakhapatnam,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/studio.stanley/?hl=en,https://www.facebook.com/studiostanleyuk/,
