Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day
The Picture Patch Photography,4.9,North Goa,54 reviews,Photo + Video,"1,15,000",per day
The Bombay Brigade,4.9,Goa,43 reviews,Photo + Video,"1,25,000",per day
Infinite Memories,4.8,Goa,57 reviews,Photo + Video,"2,25,000",per day
Candid Tales Photography,5.0,Goa,25 reviews,Photo + Video,"1,70,000",per day
Mrinal Khatnani Photos and Films,5.0,Goa,28 reviews,Photo + Video,"1,20,000",per day
Vogueshaire,4.8,Goa,84 reviews,Photo + Video,"1,00,000",per day
Shutter Magik,5.0,Goa,20 reviews,Photo + Video,"1,40,000",per day
Jumping Souls,5.0,North Goa,6 reviews,Photo + Video,"1,25,000",per day
Picture Visual,5.0,Goa,106 reviews,Photo + Video,"95,000",per day
Dark Cup Productions,5.0,Goa,48 reviews,Photo + Video,"1,00,000",per day
Editmaster Studios,4.9,Goa,26 reviews,Photo + Video,"1,00,000",per day
Picsurely,4.7,Goa,66 reviews,Photo + Video,"1,25,000",per day
Abhishek Marathe Photography,4.9,North Goa,30 reviews,Photo + Video,"55,000",per day
Camlition Productions,5.0,Goa,18 reviews,Photo + Video,"1,60,000",per day
Cupid Love stories,4.9,Goa,24 reviews,Photo + Video,"1,40,000",per day
Speaking Frame,4.7,Goa,55 reviews,Photo + Video,"1,00,000",per day
49 The Studio,5.0,South Goa,15 reviews,Photo + Video,"70,000",per day
Just Focus,4.9,North Goa,11 reviews,Photo + Video,"30,000",per day
SeventhHeaven Wedding Company,5.0,Goa,44 reviews,Photo + Video,"1,60,000",per day
Gleam Photography,5.0,Goa,31 reviews,Photo + Video,"67,000",per day
Aniket Halbe Photography and Cinematography,5.0,North Goa,11 reviews,Photo + Video,"40,000",per day
The VR Story,4.8,Penha de Franca,19 reviews,Photo + Video,"95,000",per day
Sunny Parsekar Photography,4.8,Mapusa,3 reviews,Photo + Video,"28,000",per day
Sarvesh Savaikar Photography,5.0,North Goa,7 reviews,Photo + Video,"55,000",per day
Darshan Naik Photography,5.0,North Goa,3 reviews,Photo + Video,"60,000",per day
Sanvi Photography,5.0,Goa,1 review,Photo + Video,"40,000",per day
Mountain Top Motion Pictures,5.0,Goa,1 review,Photo + Video,"1,60,000",per day
