Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Perx Studio,4.9,Doranda,39 reviews,Photo + Video,"45,000",per day,,,,,
Shubh Shagun,5.0,Morabadi,3 reviews,Photo + Video,"60,000",per day,,,,,
Clicking Shaadi,5.0,Lalpur,31 reviews,Photo + Video,"50,000",per day,,,,,
RV Photography,5.0,Ranchi,2 reviews,Photo + Video,"50,000",per day,,,,,
Annu Vision,5.0,Kumhartoli,7 reviews,Photo + Video,"60,000",per day,,,,,
Winterfall Productions,4.7,Lalpur,6 reviews,Photo + Video,"50,000",per day,,,,,
Shubham Ghosh Photography,4.8,Ranchi,17 reviews,Photo + Video,"55,000",per day,,,,,
Filmy Wilmy,5.0,Ashok Nagar,4 reviews,Photo + Video,"75,000",per day,,,,,
Amazing.Clicker,5.0,Ranchi,1 review,Photo + Video,"35,000",per day,,,,,
Agrawal's Wedding Photography,5.0,Kanka,2 reviews,Photo + Video,"80,000",per day,,,,,
The Snapshooter,5.0,Kumhartoli,2 reviews,Photo + Video,"1,00,000",per day,,,,,
Photo Express,5.0,Morabadi,2 reviews,On Request,None,None,,,,,
Wow Photos,4.9,Kumhartoli,13 reviews,Photo + Video,"50,000",per day,,,,,
The Photo Box,5.0,Ahirtoli,1 review,Photo + Video,"50,000",per day,,,,,
YourStory-Gifting You Moments,4.5,Ranchi,2 reviews,Photo + Video,"55,000",per day,,,,,
Rudra Entertainment,5.0,Lalpur,2 reviews,Photo + Video,"35,000",per day,,,,,
Memory Makers,5.0,Doranda,11 reviews,Photo + Video,"50,000",per day,,,,,
Wedding Story,5.0,Bariatu,2 reviews,Photo + Video,"25,000",per day,,,,,
DK Photography,4.6,Bariatu,12 reviews,Photo + Video,"45,000",per day,,,,,
The Next Image,5.0,Lalpur,3 reviews,Photo + Video,"75,000",per day,,,,,
Let's Clik Photography,5.0,Doranda,2 reviews,Photo + Video,"25,000",per day,,,,,
Sharda Photography,4.5,Ranchi,1 review,Photo + Video,"50,000",per day,,,,,
The Flashback Studios,5.0,Hindpiri,1 review,Photo + Video,"60,000",per day,,,,,
Photowing Photography,4.8,Doranda,4 reviews,Photo + Video,"45,000",per day,,,,,
Magic Eye Photography,4.5,Ranchi,9 reviews,Photo + Video,"25,000",per day,,,,,
Wedding Sutra,5.0,Ranchi,3 reviews,Photo + Video,"15,000",per day,,,,,
Photowala In,5.0,Doranda,3 reviews,Photo + Video,"50,000",per day,,,,,
Rajeev Ranjan Photography,4.9,Morabadi,9 reviews,Photo + Video,"1,00,000",per day,,,,,
Chitra Studio,Ranchi,No Reviews,Photo + Video,"75,000",per day,None,,,,,
Mithilesh Photography,Vikash Nagar,No Reviews,Photo + Video,"58,000",per day,None,,,,,
Studio Erato Films,4.6,Lalpur,11 reviews,Photo + Video,"60,000",per day,,,,,
Studio Gupta,Ashok Nagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
