Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Kashmir Frames,5.0,Srinagar,1 review,Photo + Video,"60,000",per day,,,,,
Sober Studio,5.0,Srinagar,1 review,Photo + Video,"30,000",per day,,,,,
Kasheen Productions,5.0,Srinagar,1 review,Photo + Video,"25,000",per day,,,,,
Creative Photography Kashmir,5.0,Srinagar,3 reviews,Photo + Video,"30,000",per day,,,,,
Kashmir Image Palace,5.0,Srinagar,9 reviews,Photo + Video,"40,000",per day,,,,,
Umar Nazir Photography,4.5,Srinagar,1 review,Photo + Video,"30,000",per day,,,,,
Memorelic Productions,4.9,Srinagar,5 reviews,Photo + Video,"70,000",per day,,,,,
Two Brother's Studio,5.0,Srinagar,25 reviews,Photo + Video,"60,000",per day,,,,,
Kashmir Creative Forever,5.0,Srinagar,1 review,Photo + Video,"60,000",per day,,,,,
Next Gen Photography,5.0,Srinagar,2 reviews,Photo + Video,"50,000",per day,,,,,
Next Photo,4.7,Srinagar,5 reviews,Photo + Video,"20,000",per day,,,,,
Imad Clicks,5.0,Srinagar,1 review,Photo + Video,"60,000",per day,,,,,
Kashmir Wedding,5.0,Srinagar,4 reviews,Photo + Video,"60,000",per day,,,,,
Ronak Photo Films,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,,,
MG's Wedding Cinematography,Srinagar,No Reviews,Photo + Video,"25,000",per day,None,,,,,
Capture by Aadil Rehbar,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,,,
Zool Production,Srinagar,No Reviews,Photo + Video,"4,50,000",per day,None,,,,,
SR Wedding PhotoGraphy,0.5,Srinagar,1 review,Photo + Video,"40,000",per day,,,,,
Welcome Digital Colour Lab,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
Gainer Studio,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,,,
Arsalan Manzoor Fashion Photography,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
Raj Studio,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,,,
Mubi Video Film Makers,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
HD Planet,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,,,
Bhat Studio,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,,,
Afreen Studio,Srinagar,No Reviews,Photo + Video,"45,000",per day,None,,,,,
Screen Kashmir Studio,Srinagar,No Reviews,Photo + Video,"30,000",per day,None,,,,,
Arsh Fotografi,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
Akram Photography,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
Image Studio Kashmir,Srinagar,No Reviews,Photo + Video,"30,000",per day,None,,,,,
K K Studios,Srinagar,No Reviews,Photo + Video,"70,000",per day,None,,,,,
The Photo Booth,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
Little Black Book Jammu Kashmir,Srinagar,No Reviews,Photo + Video,"15,000",per day,None,,,,,
Floating Digital Studio,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
Shan Photography,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,,,
Bliss Eleven Studio,Srinagar,No Reviews,Photo + Video,"25,000",per day,None,,,,,
Expressions,Srinagar,No Reviews,Photo + Video,"70,000",per day,None,,,,,
Kashmir Star Shots,Srinagar,No Reviews,Photo + Video,"50,000",per day,None,,,,,
RJ Wedding Production,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,,,
Wedding Maestro,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,,,
Kashmir Wedding Frames,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,,,
Ashish Portfolios,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
Pammy Studio,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
Kashmir Wedding Videography,Srinagar,No Reviews,Photo + Video,"25,000",per day,None,,,,,
Jhelum Films,Srinagar,No Reviews,Photo + Video,"1,15,000",per day,None,,,,,
Wedding Dreams,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,,,
Kabli's Foto Art,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,,,
Filmistan Studio,Srinagar,No Reviews,Photo + Video,"30,000",per day,None,,,,,
Waseem Digital Studio,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,,,
Brand Studio,Srinagar,No Reviews,Photo + Video,"45,000",per day,None,,,,,
A. K Digital Video Lab,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,,,
Friends Digital Photo Studio,Srinagar,No Reviews,Photo + Video,"45,000",per day,None,,,,,
Singh Digital Studio Baramulla,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,,,
Ayesha Digital Color Lab,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
Mir Video's & Studio,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,,,
