Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day
Maya's Wedding Photography,5.0,Kankarbagh,19 reviews,Photo + Video,"65,000",per day
Aks Production and Photgraphy,5.0,Gardanibagh,9 reviews,Photo + Video,"85,000",per day
Maharaja Studio,5.0,Rajendra Nagar,12 reviews,Photo + Video,"50,000",per day
Fantastic Foto,5.0,Gardanibagh,11 reviews,Photo + Video,"75,000",per day
Fash Click,4.8,Rukanpura,13 reviews,Photo + Video,"70,000",per day
Magik Pixels,4.9,Danapur,14 reviews,Photo + Video,"40,000",per day
Pal Video Film,5.0,Anandpuri,15 reviews,Photo + Video,"35,000",per day
KriSum Photography,5.0,Gardanibagh,11 reviews,Photo + Video,"70,000",per day
Clicking Shaadi,5.0,Patna,31 reviews,Photo + Video,"50,000",per day
Sudhir Studio,4.7,Kankarbagh,16 reviews,Photo + Video,"60,000",per day
A wedding Film Makers,4.8,Gardanibagh,6 reviews,Photo + Video,"40,000",per day
Picture Perfect Studio,5.0,Ramkrishan Nagar,1 review,Photo + Video,"40,000",per day
Alexa Studio,4.9,Gardanibagh,4 reviews,Photo + Video,"75,000",per day
Nilesh Dubey,4.9,Phulwari Sharif,5 reviews,Photo + Video,"40,000",per day
Studio P.C,5.0,Rajendra Nagar,1 review,Photo + Video,"80,000",per day
MVS Films Wedding Photography and Cinematography,5.0,Gardanibagh,4 reviews,Photo + Video,"50,000",per day
Heaven Production,5.0,Patna,3 reviews,Photo + Video,"50,000",per day
SmileBox Studios,5.0,Gardanibagh,1 review,Photo + Video,"45,000",per day
Wedding Video Mixing Lab,5.0,Patna,4 reviews,Photo + Video,"57,000",per day
Wedding Tales,5.0,Kidwaipuri,4 reviews,Photo + Video,"60,000",per day
Campix Studios,4.8,Rukanpura,8 reviews,Photo + Video,"55,000",per day
Rohit Roy Wedding films and Photography,5.0,Kankarbagh,2 reviews,Photo + Video,"80,000",per day
Imagewale,4.5,Danapur,3 reviews,Photo + Video,"30,000",per day
