Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day
Momentous Photography,5.0,Salem,1 review,Photo + Video,"1,00,000",per day
CBS Studioz,5.0,Salem,1 review,Photo + Video,"35,000",per day
DJ Photo Stories,5.0,Salem,2 reviews,Photo + Video,"60,000",per day
The Lovestruck Studios,5.0,Salem,2 reviews,Photo + Video,"90,000",per day
RGP Photography,5.0,Salem,5 reviews,Photo + Video,"35,000",per day
Carnival Studios,5.0,Salem,1 review,Photo + Video,"40,000",per day
Vivaham Photography,5.0,Salem,3 reviews,Photo + Video,"40,000",per day
Nakshatra Studioz,5.0,Salem,2 reviews,Photo + Video,"60,000",per day
Dilip Photography,5.0,Salem,2 reviews,Photo + Video,"50,000",per day
Sri Abirami Studio,5.0,Salem,1 review,Photo + Video,"45,000",per day
Saravana Videos,Salem,No Reviews,Photo + Video,"60,000",per day,None
Dum Dum Dum Studios,Salem,No Reviews,Photo + Video,"35,000",per day,None
IK Photography,Salem,No Reviews,Photo + Video,"60,000",per day,None
Thanish Digital,Salem,No Reviews,Photo + Video,"60,000",per day,None
Happy Notch Photography,Salem,No Reviews,Photo + Video,"1,55,000",per day,None
Navajyothi Digital Studio & Videos,Salem,No Reviews,Photo + Video,"33,000",per day,None
House of FCP,Salem,No Reviews,Photo + Video,"1,00,000",per day,None
Arun Digital Studio,Salem,No Reviews,Photo + Video,"50,000",per day,None
I Digital,Salem,No Reviews,Photo + Video,"45,000",per day,None
Bridalweds Photography,Salem,No Reviews,Photo + Video,"40,000",per day,None
NS Photographey,Salem,No Reviews,Photo + Video,"35,000",per day,None
Candidpic Photography,Salem,No Reviews,Photo + Video,"67,000",per day,None
Surendhaar Studios,Salem,No Reviews,Photo + Video,"40,000",per day,None
Guru's Photography,Salem,No Reviews,Photo + Video,"60,000",per day,None
Mayon Studioz,Salem,No Reviews,Photo + Video,"60,000",per day,None
Vasantham Studios,Salem,No Reviews,Photo + Video,"45,000",per day,None
Zhagaram Photography,Salem,No Reviews,Photo + Video,"60,000",per day,None
Studio7RK,Salem,No Reviews,Photo + Video,"60,000",per day,None
Clickers Photography,Salem,No Reviews,Photo + Video,"75,000",per day,None
Eclipse Photography,Salem,No Reviews,Photo + Video,"30,000",per day,None
Sunlight Photo Studio,Salem,No Reviews,Photo + Video,"45,000",per day,None
Studio V2K,Salem,No Reviews,Photo + Video,"55,000",per day,None
Kabilan Studio,Salem,No Reviews,Photo + Video,"50,000",per day,None
Studio 51,Salem,No Reviews,Photo + Video,"50,000",per day,None
Catche Studioz,Salem,No Reviews,Photo + Video,"40,000",per day,None
Kapcher Studio,Salem,No Reviews,Photo + Video,"50,000",per day,None
Black Light Fotographz,Salem,No Reviews,Photo + Video,"67,000",per day,None
Malabar Studio,0.5,Salem,1 review,Photo + Video,"25,000",per day
Mahesh Videos,Salem,No Reviews,Photo + Video,"70,000",per day,None
Studio Phoenix,Salem,No Reviews,Photo + Video,"40,000",per day,None
Sri Prabu Videos,Salem,No Reviews,Photo + Video,"40,000",per day,None
MK Photography,Salem,No Reviews,Photo + Video,"35,000",per day,None
Gopuram Studioo,Salem,No Reviews,Photo + Video,"35,000",per day,None
King Digital Studio,Salem,No Reviews,Photo + Video,"90,000",per day,None
Saraswathi Hi Tech Digital Studio,Salem,No Reviews,Photo + Video,"75,000",per day,None
OTG Studios Wedding,Salem,No Reviews,Photo + Video,"40,000",per day,None
Govindaraju Studios - Nirmal Photography,Salem,No Reviews,Photo + Video,"30,000",per day,None
Eye Point Photography,Salem,No Reviews,Photo + Video,"90,000",per day,None
Deva Photography,Salem,No Reviews,Photo + Video,"28,000",per day,None
Vewac Photography,Salem,No Reviews,Photo + Video,"80,000",per day,None
Focus Studio,Salem,No Reviews,Photo + Video,"55,000",per day,None
Murugalaya Photography,Salem,No Reviews,Photo + Video,"50,000",per day,None
Ownway Photography,Salem,No Reviews,Photo + Video,"30,000",per day,None
Rising Sun Photography,Salem,No Reviews,Photo + Video,"30,000",per day,None
DIGI Studio,Salem,No Reviews,Photo + Video,"50,000",per day,None
Shady Photography,0.5,Salem,1 review,Photo + Video,"30,000",per day
Cine Digitals Photography,Salem,No Reviews,Photo + Video,"45,000",per day,None
Ravi Foto Factory & Wedding Film Media,Salem,No Reviews,Photo + Video,"45,000",per day,None
SSV Photography,Salem,No Reviews,Photo + Video,"40,000",per day,None
Vintage Vision Studioz,Salem,No Reviews,Photo + Video,"57,000",per day,None
Elas Studio,Salem,No Reviews,Photo + Video,"70,000",per day,None
SVK Photography,Salem,No Reviews,Photo + Video,"35,000",per day,None
Rhaavan Photography,Salem,No Reviews,Photo + Video,"80,000",per day,None
Sundaram Studio,Salem,No Reviews,Photo + Video,"35,000",per day,None
DSC Events & Photography,Salem,No Reviews,Photo + Video,"70,000",per day,None
Sivan Films,Salem,No Reviews,Photo + Video,"55,000",per day,None
GS Photography,Salem,No Reviews,Photo + Video,"65,000",per day,None
GB Photography Gowtham Balaji,Salem,No Reviews,Photo + Video,"70,000",per day,None
The Magic Hues Photography,Salem,No Reviews,Photo + Video,"60,000",per day,None
